,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697215705281.0,1,2,0.4,0,0,1,23,17.699
1,1697215705281.0,1,7,0.31,0,0,0,0,1.2
2,1697215705281.0,1,6,0.37,0,0,1,0,17.699
3,1697215705281.0,1,1,0.47,0,0,0,0,17.699
4,1697215705169.0,2,1,0.45,0,0,0,0,199.791
5,1697215705169.0,2,2,0.13,0,1,1,29,196.591
6,1697215705169.0,2,3,0.19,1,0,0,0,0.0
7,1697215705169.0,2,4,0.45,0,0,0,39,199.791
8,1697215705118.0,3,1,0.21,0,0,0,0,33.694
9,1697215705118.0,3,2,0.11,1,1,1,31,0.0
10,1697215705118.0,3,3,0.43,0,0,0,0,43.793
11,1697215705118.0,3,4,0.32,0,0,0,26,114.281
12,1697215705199.0,4,1,3.0,0,0,0,0,189.888
13,1697215705199.0,4,2,2.0,1,1,0,26,0.0
14,1697215705199.0,4,3,3.0,0,0,0,0,52.592
15,1697215705199.0,4,4,5.0,0,1,1,22,16.798
16,1697215704345.0,5,1,0.11,1,0,0,0,0.0
17,1697215704345.0,5,2,0.3,1,1,1,19,0.0
18,1697215704345.0,5,4,0.03,0,0,0,23,29.895
19,1697215705171.0,6,2,0.4,0,1,1,17,30.296
20,1697215705171.0,6,4,0.23,0,0,0,25,52.393
21,1697215705261.0,7,2,0.15,1,1,0,20,0.0
22,1697215705261.0,7,4,0.08,0,0,0,20,16.498
23,1697215705118.0,8,2,0.45,1,1,1,21,0.0
24,1697215705118.0,8,4,0.2,0,1,0,29,160.679
25,1697215705118.0,8,1,0.3,1,0,0,0,0.0
26,1697215705206.0,9,2,0.28,1,1,1,18,0.0
27,1697215705206.0,9,4,0.44,0,0,0,20,16.599
28,1697215705169.0,10,2,0.4,0,1,1,0,2.601
29,1697215705169.0,10,4,0.21,1,0,0,20,0.0
30,1697215705171.0,11,1,0.38,0,0,0,0,10.0
31,1697215705171.0,11,2,0.36,0,0,1,20,9.0
32,1697215705171.0,11,3,0.39,1,0,0,0,0.0
33,1697215705171.0,11,4,0.42,1,0,0,20,0.0
34,1697215705171.0,11,5,0.45,0,0,0,0,10.0
