1,1,2023-10-11 15:19:14.938000
1,2,2023-10-11 15:19:35.434000
1,3,2023-10-11 15:20:12.525000
2,1,2023-10-11 15:19:14.880000
2,2,2023-10-11 15:19:48.371000
3,1,2023-10-11 15:19:14.925000
3,2,2023-10-11 15:19:52.815000
4,1,2023-10-11 15:20:06.263000
5,1,2023-10-11 15:19:14.712000
5,2,2023-10-11 15:19:42.205000
6,1,2023-10-11 15:19:14.684000
6,2,2023-10-11 15:19:36.378000
6,3,2023-10-11 15:20:13.270000
7,1,2023-10-11 15:19:14.833000
7,2,2023-10-11 15:19:40.026000
9,1,2023-10-11 15:19:14.717000
9,2,2023-10-11 15:19:52.808000
10,1,2023-10-11 15:19:14.740000
10,2,2023-10-11 15:19:30.736000
10,3,2023-10-11 15:20:02.728000
11,1,2023-10-11 15:19:52.798000
