,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
0,1697053033099,1,0,14.9,29.9,1,True,True
1,1697053033044,2,1,30.1,42.6,1,True,True
2,1697053032990,3,0,3.6,3.6,0,True,True
3,1697053033036,4,0,10.8,10.8,1,True,True
4,1697053032880,5,0,3.7,3.7,0,True,True
5,1697053032844,6,1,108.9,0.0,1,True,True
6,1697053032998,7,1,24.5,24.5,0,True,True
7,1697053032785,8,0,27.6,27.6,0,True,True
8,1697053032880,9,0,15.2,28.2,1,True,True
9,1697053032897,10,0,2.8,17.9,1,True,True
10,1697053033071,11,1,11.6,11.6,0,True,True
11,1697053033199,1,1,15.0,30.0,1,True,True
12,1697053033144,2,1,30.2,42.7,1,True,True
13,1697053033090,3,0,3.7,3.7,0,True,True
14,1697053033136,4,0,10.9,10.9,1,True,True
15,1697053032980,5,0,3.8,3.8,0,True,True
16,1697053032944,6,1,109.0,0.0,1,True,True
17,1697053033098,7,1,24.6,24.6,0,True,True
18,1697053032985,8,0,27.8,27.8,0,True,True
19,1697053032980,9,0,15.3,28.3,1,True,True
20,1697053032997,10,0,2.9,18.0,1,True,True
21,1697053033171,11,1,11.7,11.7,0,True,True
22,1697053033199,1,1,15.0,30.0,1,True,True
23,1697053033244,2,1,30.3,42.8,1,True,True
24,1697053033090,3,0,3.7,3.7,0,True,True
25,1697053033236,4,0,11.0,11.0,1,True,True
26,1697053033080,5,0,3.9,3.9,0,True,True
27,1697053033045,6,1,109.1,0.0,1,True,True
28,1697053033198,7,1,24.7,24.7,0,True,True
29,1697053032985,8,0,27.8,27.8,0,True,True
30,1697053033080,9,0,15.4,28.4,1,True,True
31,1697053033097,10,0,3.0,18.1,1,True,True
32,1697053033271,11,1,11.8,11.8,0,True,True
33,1697053033299,1,1,15.1,30.1,1,True,True
34,1697053033344,2,1,30.4,42.9,1,True,True
35,1697053033290,3,0,3.9,3.9,0,True,True
36,1697053033236,4,0,11.0,11.0,1,True,True
37,1697053033080,5,0,3.9,3.9,0,True,True
38,1697053033045,6,1,109.1,0.0,1,True,True
39,1697053033198,7,1,24.7,24.7,0,True,True
40,1697053032985,8,0,27.8,27.8,0,True,True
41,1697053033180,9,0,15.5,28.5,1,True,True
42,1697053033097,10,0,3.0,18.1,1,True,True
43,1697053033271,11,1,11.8,11.8,0,True,True
44,1697053033500,1,1,15.3,30.3,1,True,True
45,1697053033344,2,1,30.4,42.9,1,True,True
46,1697053033390,3,0,4.0,4.0,0,True,True
47,1697053033336,4,0,11.1,11.1,1,True,True
48,1697053033181,5,0,4.0,4.0,0,True,True
49,1697053033245,6,1,109.3,0.0,1,True,True
50,1697053033298,7,1,24.8,24.8,0,True,True
51,1697053033186,8,0,28.0,28.0,0,True,True
52,1697053033280,9,0,15.6,28.6,1,False,True
53,1697053033198,10,0,3.1,18.2,1,True,True
54,1697053033472,11,1,12.0,12.0,0,True,True
55,1697053033599,1,1,15.4,30.4,1,True,True
56,1697053033544,2,1,30.6,43.1,1,True,True
57,1697053033590,3,0,4.2,4.2,0,True,True
58,1697053033536,4,0,11.3,11.3,1,True,True
59,1697053033380,5,0,4.2,4.2,0,True,True
60,1697053033345,6,1,109.4,0.0,1,True,True
61,1697053033499,7,1,25.0,25.0,0,True,True
62,1697053033386,8,0,28.2,28.2,0,True,True
63,1697053033380,9,0,15.7,28.7,1,True,True
64,1697053033398,10,0,3.3,18.4,1,True,True
65,1697053033571,11,1,12.1,12.1,0,True,True
66,1697053033699,1,1,15.5,30.5,1,True,True
67,1697053033644,2,1,30.7,43.2,1,True,True
68,1697053033690,3,0,4.3,4.3,0,True,True
69,1697053033636,4,0,11.4,11.4,1,True,True
70,1697053033482,5,0,4.3,4.3,0,True,True
71,1697053033446,6,1,109.5,0.0,1,True,True
72,1697053033598,7,1,25.1,25.1,0,True,True
73,1697053033487,8,0,28.3,28.3,0,True,True
74,1697053033481,9,0,15.8,28.8,1,True,True
75,1697053033499,10,0,3.4,18.5,1,True,True
76,1697053033671,11,1,12.2,12.2,0,True,True
77,1697053033699,1,1,15.5,30.5,1,True,True
78,1697053033644,2,1,30.7,43.2,1,True,True
79,1697053033690,3,0,4.3,4.3,0,True,True
80,1697053033636,4,0,11.4,11.4,1,True,True
81,1697053033482,5,0,4.3,4.3,0,True,True
82,1697053033545,6,1,109.6,0.0,1,True,True
83,1697053033598,7,1,25.1,25.1,0,True,True
84,1697053033487,8,0,28.3,28.3,0,True,True
85,1697053033580,9,0,15.9,28.9,1,True,True
86,1697053033597,10,0,3.5,18.6,1,True,True
87,1697053033671,11,1,12.2,12.2,0,True,True
88,1697053033899,1,1,15.7,30.7,1,True,True
89,1697053033844,2,1,30.9,43.4,1,True,True
90,1697053033790,3,0,4.4,4.4,0,True,True
91,1697053033836,4,0,11.6,11.6,1,True,True
92,1697053033681,5,0,4.5,4.5,0,True,True
