,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697129407978.0,1,2,0.43,1,0,1,23,0.0
1,1697129407978.0,1,7,0.19,0,0,0,0,0.0
2,1697129407978.0,1,6,0.44,1,0,1,0,0.0
3,1697129407978.0,1,1,0.45,0,0,0,0,0.0
4,1697129406043.0,2,1,0.1,1,0,0,0,0.0
5,1697129406043.0,2,2,0.43,0,1,1,29,0.0
6,1697129406043.0,2,3,0.16,0,0,0,0,0.0
7,1697129406043.0,2,4,0.26,0,0,0,39,0.0
8,1697129406042.0,3,1,0.02,0,0,0,0,0.0
9,1697129406042.0,3,2,0.32,0,1,1,33,0.0
10,1697129406042.0,3,3,0.42,0,0,0,0,0.0
11,1697129406042.0,3,4,0.35,1,0,0,29,0.0
12,1697129407933.0,4,1,0.06,0,0,0,0,0.0
13,1697129407933.0,4,2,0.38,0,1,0,22,0.0
14,1697129407933.0,4,3,0.07,0,0,0,0,0.0
15,1697129407933.0,4,4,0.42,0,1,0,19,0.0
16,1697129407734.0,5,1,0.46,0,0,0,0,0.0
17,1697129407734.0,5,2,0.19,1,1,1,22,0.0
18,1697129407734.0,5,4,0.47,0,1,0,28,0.0
19,1697129407754.0,6,2,0.42,0,1,1,17,0.0
20,1697129407754.0,6,4,0.32,1,0,0,25,0.0
21,1697129407922.0,7,2,0.27,0,1,0,20,0.0
22,1697129407922.0,7,4,0.39,1,0,0,20,0.0
23,1697129407688.0,8,2,2.0,0,1,1,21,0.0
24,1697129407688.0,8,4,2.0,0,1,0,29,0.0
25,1697129407688.0,8,1,0.0,0,0,0,0,0.0
26,1697129407778.0,9,2,1.0,1,1,1,18,0.0
27,1697129407778.0,9,4,0.0,0,0,0,20,0.0
28,1697129407850.0,10,2,0.11,1,1,1,0,0.0
29,1697129407850.0,10,4,0.41,0,0,0,20,0.0
30,1697129405952.0,11,1,0.41,0,0,0,0,0.0
31,1697129405952.0,11,2,0.01,1,0,1,20,0.0
32,1697129405952.0,11,3,0.32,0,0,0,0,0.0
33,1697129405952.0,11,4,0.23,0,0,0,20,0.0
34,1697129405952.0,11,5,0.24,0,0,0,0,0.0
35,1697129405952.0,11,6,0.41,1,0,1,20,0.0
36,1697129408178.0,1,2,0.49,1,0,1,23,0.0
37,1697129408178.0,1,7,0.24,0,0,0,0,0.2
38,1697129408178.0,1,6,0.08,1,0,1,0,0.0
39,1697129408178.0,1,1,0.0,0,0,0,0,0.2
