,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697139959789.0,1,2,0.38,0,0,1,23,40.6
1,1697139959789.0,1,7,0.1,0,0,0,0,24.198
2,1697139959789.0,1,6,0.4,0,0,1,0,14.199
3,1697139959789.0,1,1,0.01,0,0,0,0,14.199
4,1697139957887.0,2,1,0.25,0,0,0,0,13.898
5,1697139957887.0,2,2,0.1,0,1,1,29,13.898
6,1697139957887.0,2,3,0.33,0,0,0,0,5.699
7,1697139957887.0,2,4,0.33,0,0,0,39,89.607
8,1697139957889.0,3,1,0.18,1,0,0,0,0.0
9,1697139957889.0,3,2,0.36,1,1,1,33,0.0
10,1697139957889.0,3,3,0.44,0,0,0,0,14.498
11,1697139957889.0,3,4,0.48,0,0,0,29,14.498
12,1697139959732.0,4,1,7.0,1,0,0,0,0.0
13,1697139959732.0,4,2,5.0,1,1,0,22,0.0
14,1697139959732.0,4,3,4.0,0,0,0,0,16.297
15,1697139959732.0,4,4,6.0,0,1,0,19,16.598
16,1697139959606.0,5,1,0.5,1,0,0,0,0.0
17,1697139959606.0,5,2,0.17,1,1,1,22,0.0
18,1697139959606.0,5,4,0.02,0,1,0,28,14.698
19,1697139959560.0,6,2,0.45,0,1,1,17,1.2
20,1697139959560.0,6,4,0.42,0,0,0,25,23.498
21,1697139957761.0,7,2,0.21,0,1,0,20,16.398
22,1697139957761.0,7,4,0.03,1,0,0,20,0.0
23,1697139959625.0,8,2,0.06,0,1,1,21,109.105
24,1697139959625.0,8,4,0.34,1,1,0,29,0.0
25,1697139959625.0,8,1,0.04,0,0,0,0,16.798
26,1697139959730.0,9,2,0.19,0,1,1,18,1.8
27,1697139959730.0,9,4,0.43,1,0,0,20,0.0
28,1697139959623.0,10,2,0.09,1,1,1,0,0.0
29,1697139959623.0,10,4,0.33,0,0,0,20,8.799
30,1697139957793.0,11,1,0.43,0,0,0,0,12.297
31,1697139957793.0,11,2,0.14,0,0,1,20,11.297
32,1697139957793.0,11,3,0.38,1,0,0,0,0.0
33,1697139957793.0,11,4,0.4,1,0,0,20,0.0
34,1697139957793.0,11,5,0.01,0,0,0,0,12.297
35,1697139957793.0,11,6,0.27,0,0,1,20,12.297
36,1697139959889.0,1,2,0.06,0,0,1,23,40.7
37,1697139959889.0,1,7,0.17,0,0,0,0,24.298
38,1697139959889.0,1,6,0.18,0,0,1,0,14.299
39,1697139959889.0,1,1,0.31,0,0,0,0,14.299
40,1697139957987.0,2,1,0.25,0,0,0,0,13.998
41,1697139957987.0,2,2,0.0,0,1,1,29,13.998
42,1697139957987.0,2,3,0.05,0,0,0,0,5.799
43,1697139957987.0,2,4,0.37,0,0,0,39,89.707
44,1697139957989.0,3,1,0.24,1,0,0,0,0.0
45,1697139957989.0,3,2,0.3,1,1,1,33,0.0
46,1697139957989.0,3,3,0.2,0,0,0,0,14.598
47,1697139957989.0,3,4,0.28,0,0,0,29,14.598
48,1697139959832.0,4,1,7.0,1,0,0,0,0.0
49,1697139959832.0,4,2,5.0,1,1,0,22,0.0
50,1697139959832.0,4,3,3.0,0,0,0,0,16.397
51,1697139959832.0,4,4,6.0,0,1,0,19,16.698
52,1697139959706.0,5,1,0.25,1,0,0,0,0.0
53,1697139959706.0,5,2,0.21,1,1,1,22,0.0
54,1697139959706.0,5,4,0.13,0,1,0,28,14.798
55,1697139959660.0,6,2,0.42,0,1,1,17,1.3
56,1697139959660.0,6,4,0.27,0,0,0,25,23.598
57,1697139957961.0,7,2,0.44,0,1,0,20,16.598
58,1697139957961.0,7,4,0.25,1,0,0,20,0.0
59,1697139959625.0,8,2,0.08,0,1,1,21,109.105
60,1697139959625.0,8,4,0.15,1,1,0,29,0.0
61,1697139959625.0,8,1,0.09,0,0,0,0,16.798
62,1697139959830.0,9,2,0.47,0,1,1,18,1.9
63,1697139959830.0,9,4,0.11,1,0,0,20,0.0
64,1697139959723.0,10,2,0.34,1,1,1,0,0.0
65,1697139959723.0,10,4,0.25,0,0,0,20,8.899
66,1697139957993.0,11,1,0.02,0,0,0,0,12.497
67,1697139957993.0,11,2,0.17,0,0,1,20,11.497
68,1697139957993.0,11,3,0.08,1,0,0,0,0.0
69,1697139957993.0,11,4,0.29,1,0,0,20,0.0
70,1697139957993.0,11,5,0.18,0,0,0,0,12.497
71,1697139957993.0,11,6,0.11,0,0,1,20,12.497
72,1697139960088.0,1,2,0.35,0,0,1,23,40.899
73,1697139960088.0,1,7,0.34,0,0,0,0,24.497
74,1697139960088.0,1,6,0.49,0,0,1,0,14.498
75,1697139960088.0,1,1,0.05,0,0,0,0,14.498
76,1697139958087.0,2,1,0.25,0,0,0,0,14.098
77,1697139958087.0,2,2,0.27,0,1,1,29,14.098
78,1697139958087.0,2,3,0.23,0,0,0,0,5.899
79,1697139958087.0,2,4,0.08,0,0,0,39,89.807
80,1697139958189.0,3,1,0.17,1,0,0,0,0.0
81,1697139958189.0,3,2,0.2,1,1,1,33,0.0
82,1697139958189.0,3,3,0.39,0,0,0,0,14.798
83,1697139958189.0,3,4,0.3,0,0,0,29,14.798
84,1697139960032.0,4,1,7.0,1,0,0,0,0.0
85,1697139960032.0,4,2,5.0,1,1,0,22,0.0
86,1697139960032.0,4,3,3.0,0,0,0,0,16.597
87,1697139960032.0,4,4,6.0,0,1,0,19,16.898
88,1697139959906.0,5,1,0.38,1,0,0,0,0.0
89,1697139959906.0,5,2,0.45,1,1,1,22,0.0
90,1697139959906.0,5,4,0.14,0,1,0,28,14.998
91,1697139959860.0,6,2,0.09,0,1,1,17,1.5
92,1697139959860.0,6,4,0.29,0,0,0,25,23.798
93,1697139958061.0,7,2,0.37,0,1,0,20,16.698
94,1697139958061.0,7,4,0.41,0,0,0,20,43.0
95,1697139959925.0,8,2,0.38,0,1,1,21,109.405
96,1697139959925.0,8,4,0.46,1,1,0,29,0.0
97,1697139959925.0,8,1,0.32,0,0,0,0,17.098
98,1697139959930.0,9,2,0.23,0,1,1,18,2.0
99,1697139959930.0,9,4,0.14,1,0,0,20,0.0
100,1697139959923.0,10,2,0.18,1,1,1,0,0.0
101,1697139959923.0,10,4,0.38,0,0,0,20,9.099
102,1697139958093.0,11,1,0.18,0,0,0,0,12.597
103,1697139958093.0,11,2,0.35,0,0,1,20,11.597
104,1697139958093.0,11,3,0.18,1,0,0,0,0.0
105,1697139958093.0,11,4,0.07,1,0,0,20,0.0
106,1697139958093.0,11,5,0.3,0,0,0,0,12.597
107,1697139958093.0,11,6,0.24,0,0,1,20,12.597
108,1697139960188.0,1,2,0.34,0,0,1,23,40.999
109,1697139960188.0,1,7,0.13,0,0,0,0,24.597
110,1697139960188.0,1,6,0.13,0,0,1,0,14.598
111,1697139960188.0,1,1,0.33,0,0,0,0,14.598
112,1697139958187.0,2,1,0.31,0,0,0,0,14.198
113,1697139958187.0,2,2,0.09,0,1,1,29,14.198
114,1697139958187.0,2,3,0.45,0,0,0,0,5.999
115,1697139958187.0,2,4,0.34,0,0,0,39,89.907
116,1697139958289.0,3,1,0.18,1,0,0,0,0.0
117,1697139958289.0,3,2,0.02,1,1,1,33,0.0
118,1697139958289.0,3,3,0.49,0,0,0,0,14.898
119,1697139958289.0,3,4,0.3,0,0,0,29,14.898
120,1697139960132.0,4,1,7.0,1,0,0,0,0.0
121,1697139960132.0,4,2,5.0,1,1,0,22,0.0
122,1697139960132.0,4,3,3.0,0,0,0,0,16.697
123,1697139960132.0,4,4,6.0,0,1,0,19,16.998
124,1697139960006.0,5,1,0.16,1,0,0,0,0.0
125,1697139960006.0,5,2,0.35,1,1,1,22,0.0
126,1697139960006.0,5,4,0.05,0,1,0,28,15.098
127,1697139959960.0,6,2,0.17,0,1,1,17,1.6
128,1697139959960.0,6,4,0.38,1,0,0,25,0.0
129,1697139958161.0,7,2,0.27,0,1,0,20,16.798
130,1697139958161.0,7,4,0.39,0,0,0,20,43.1
131,1697139960025.0,8,2,0.02,0,1,1,21,109.505
132,1697139960025.0,8,4,0.28,1,1,0,29,0.0
133,1697139960025.0,8,1,0.42,0,0,0,0,17.198
134,1697139960030.0,9,2,0.15,0,1,1,18,2.1
135,1697139960030.0,9,4,0.07,1,0,0,20,0.0
136,1697139960023.0,10,2,0.07,1,1,1,0,0.0
137,1697139960023.0,10,4,0.01,0,0,0,20,9.199
138,1697139958293.0,11,1,0.03,0,0,0,0,12.797
139,1697139958293.0,11,2,0.28,0,0,1,20,11.797
140,1697139958293.0,11,3,0.01,0,0,0,0,39.199
141,1697139958293.0,11,4,0.27,0,0,0,20,38.299
142,1697139958293.0,11,5,0.06,0,0,0,0,12.797
143,1697139958293.0,11,6,0.37,0,0,1,20,12.797
144,1697139960288.0,1,2,0.13,0,0,1,23,41.099
145,1697139960288.0,1,7,0.27,0,0,0,0,24.697
146,1697139960288.0,1,6,0.29,0,0,1,0,14.698
147,1697139960288.0,1,1,0.14,0,0,0,0,14.698
148,1697139958387.0,2,1,0.41,0,0,0,0,14.398
149,1697139958387.0,2,2,0.15,0,1,1,29,14.398
150,1697139958387.0,2,3,0.13,0,0,0,0,6.199
151,1697139958387.0,2,4,0.3,0,0,0,39,90.107
152,1697139958389.0,3,1,0.26,1,0,0,0,0.0
153,1697139958389.0,3,2,0.14,1,1,1,33,0.0
154,1697139958389.0,3,3,0.29,0,0,0,0,14.998
155,1697139958389.0,3,4,0.03,0,0,0,29,14.998
156,1697139960232.0,4,1,7.0,1,0,0,0,0.0
157,1697139960232.0,4,2,5.0,1,1,0,22,0.0
158,1697139960232.0,4,3,3.0,0,0,0,0,16.797
