1,1,2023-10-12 13:53:30.253000
1,2,2023-10-12 13:54:07.342000
3,1,2023-10-12 13:53:42.428000
4,1,2023-10-12 13:52:53.312000
4,2,2023-10-12 13:53:20.207000
4,3,2023-10-12 13:54:11.892000
5,1,2023-10-12 13:52:53.138000
5,2,2023-10-12 13:53:20.534000
6,1,2023-10-12 13:52:53.134000
6,2,2023-10-12 13:53:14.931000
6,3,2023-10-12 13:54:07.016000
7,1,2023-10-12 13:52:53.314000
7,2,2023-10-12 13:53:18.710000
8,1,2023-10-12 13:54:03.564000
9,1,2023-10-12 13:52:53.287000
10,1,2023-10-12 13:52:53.219000
10,2,2023-10-12 13:53:08.918000
10,3,2023-10-12 13:53:39.209000
10,4,2023-10-12 13:54:10.501000
