,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697649949866.0,1,2,0.27,1,0,1,23,0.0
1,1697649949866.0,1,7,0.11,0,0,0,0,0.0
2,1697649949866.0,1,6,0.15,1,0,1,0,0.0
3,1697649949866.0,1,1,0.36,0,0,0,0,0.0
4,1697649948091.0,2,1,0.16,0,0,0,0,0.0
5,1697649948091.0,2,2,0.41,0,1,1,29,0.0
6,1697649948091.0,2,3,0.16,1,0,0,0,0.0
7,1697649948091.0,2,4,0.46,0,0,0,39,0.0
8,1697649948796.0,3,1,0.13,0,0,0,0,0.0
9,1697649948796.0,3,2,0.16,1,1,1,31,0.0
10,1697649948796.0,3,3,0.29,0,0,0,0,0.0
11,1697649948796.0,3,4,0.11,0,0,0,26,0.0
12,1697649949261.0,4,1,1.0,0,0,0,0,0.0
13,1697649949261.0,4,2,4.0,0,1,0,26,0.0
14,1697649949261.0,4,3,1.0,1,0,0,0,0.0
15,1697649949261.0,4,4,4.0,0,1,1,22,0.0
16,1697649947926.0,5,1,0.34,0,0,0,0,0.0
17,1697649947926.0,5,2,0.39,0,1,1,19,0.0
18,1697649947926.0,5,4,0.01,1,0,0,23,0.0
19,1697649949902.0,6,2,0.11,0,1,1,17,0.0
20,1697649949902.0,6,4,0.44,1,0,0,25,0.0
21,1697649949246.0,7,2,0.17,0,1,0,20,0.0
22,1697649949246.0,7,4,0.13,0,0,0,20,0.0
23,1697649949985.0,8,2,0.43,1,1,1,21,0.0
24,1697649949985.0,8,4,0.08,0,1,0,29,0.0
25,1697649949985.0,8,1,0.3,0,0,0,0,0.0
26,1697649949201.0,9,2,0.49,1,1,1,18,0.0
27,1697649949201.0,9,4,0.48,0,0,0,20,0.0
28,1697649949928.0,10,2,0.05,1,1,1,0,0.0
29,1697649949928.0,10,4,0.39,0,0,0,20,0.0
30,1697649947903.0,11,1,0.17,0,0,0,0,0.0
31,1697649947903.0,11,2,0.27,1,0,1,20,0.0
32,1697649947903.0,11,3,0.25,0,0,0,0,0.0
33,1697649947903.0,11,4,0.47,0,0,0,20,0.0
34,1697649947903.0,11,5,0.02,0,0,0,0,0.0
35,1697649947903.0,11,6,0.15,1,0,1,20,0.0
36,1697649949966.0,1,2,0.43,1,0,1,23,0.0
37,1697649949966.0,1,7,0.25,0,0,0,0,0.0
38,1697649949966.0,1,6,0.5,1,0,1,0,0.0
39,1697649949966.0,1,1,0.04,0,0,0,0,0.0
40,1697649948191.0,2,1,0.47,0,0,0,0,0.0
41,1697649948191.0,2,2,0.04,0,1,1,29,0.0
42,1697649948191.0,2,3,0.34,1,0,0,0,0.0
43,1697649948191.0,2,4,0.23,0,0,0,39,0.0
44,1697649948896.0,3,1,0.45,0,0,0,0,0.0
45,1697649948896.0,3,2,0.1,1,1,1,31,0.0
46,1697649948896.0,3,3,0.45,0,0,0,0,0.0
47,1697649948896.0,3,4,0.26,0,0,0,26,0.0
48,1697649949361.0,4,1,1.0,0,0,0,0,0.0
49,1697649949361.0,4,2,4.0,0,1,0,26,0.0
50,1697649949361.0,4,3,0.0,0,0,0,0,0.0
51,1697649949361.0,4,4,6.0,0,1,1,22,0.0
52,1697649948026.0,5,1,0.25,0,0,0,0,0.0
53,1697649948026.0,5,2,0.38,0,1,1,19,0.0
54,1697649948026.0,5,4,0.06,1,0,0,23,0.0
55,1697649950001.0,6,2,0.44,0,1,1,17,0.0
56,1697649950001.0,6,4,0.5,1,0,0,25,0.0
57,1697649949346.0,7,2,0.1,0,1,0,20,0.0
58,1697649949346.0,7,4,0.19,0,0,0,20,0.0
59,1697649949985.0,8,2,0.33,1,1,1,21,0.0
60,1697649949985.0,8,4,0.45,0,1,0,29,0.0
61,1697649949985.0,8,1,0.31,0,0,0,0,0.0
62,1697649949301.0,9,2,0.48,1,1,1,18,0.0
63,1697649949301.0,9,4,0.2,0,0,0,20,0.0
64,1697649950028.0,10,2,0.43,1,1,1,0,0.0
65,1697649950028.0,10,4,0.42,0,0,0,20,0.0
66,1697649948003.0,11,1,0.21,0,0,0,0,0.0
67,1697649948003.0,11,2,0.32,1,0,1,20,0.0
68,1697649948003.0,11,3,0.09,0,0,0,0,0.0
69,1697649948003.0,11,4,0.06,0,0,0,20,0.0
70,1697649948003.0,11,5,0.17,0,0,0,0,0.0
71,1697649948003.0,11,6,0.13,1,0,1,20,0.0
72,1697649950066.0,1,2,0.1,1,0,1,23,0.0
73,1697649950066.0,1,7,0.1,0,0,0,0,0.0
74,1697649950066.0,1,6,0.36,1,0,1,0,0.0
75,1697649950066.0,1,1,0.32,0,0,0,0,0.0
76,1697649948291.0,2,1,0.14,0,0,0,0,0.0
77,1697649948291.0,2,2,0.41,0,1,1,29,0.0
78,1697649948291.0,2,3,0.35,1,0,0,0,0.0
79,1697649948291.0,2,4,0.1,0,0,0,39,0.0
80,1697649948996.0,3,1,0.12,0,0,0,0,0.0
81,1697649948996.0,3,2,0.46,1,1,1,31,0.0
82,1697649948996.0,3,3,0.41,0,0,0,0,0.0
83,1697649948996.0,3,4,0.45,0,0,0,26,0.0
84,1697649949462.0,4,1,1.0,0,0,0,0,0.0
85,1697649949462.0,4,2,4.0,0,1,0,26,0.0
86,1697649949462.0,4,3,0.0,0,0,0,0,0.0
87,1697649949462.0,4,4,6.0,0,1,1,22,0.0
88,1697649948126.0,5,1,0.07,0,0,0,0,0.0
89,1697649948126.0,5,2,0.25,0,1,1,19,0.0
90,1697649948126.0,5,4,0.31,1,0,0,23,0.0
91,1697649950101.0,6,2,0.24,0,1,1,17,0.0
92,1697649950101.0,6,4,0.42,1,0,0,25,0.0
93,1697649949447.0,7,2,0.03,0,1,0,20,0.0
94,1697649949447.0,7,4,0.37,0,0,0,20,0.0
95,1697649950184.0,8,2,0.36,1,1,1,21,0.0
96,1697649950184.0,8,4,0.01,0,1,0,29,0.0
97,1697649950184.0,8,1,0.04,0,0,0,0,0.0
98,1697649949402.0,9,2,0.11,1,1,1,18,0.0
99,1697649949402.0,9,4,0.0,0,0,0,20,0.0
100,1697649950128.0,10,2,0.14,1,1,1,0,0.0
101,1697649950128.0,10,4,0.06,0,0,0,20,0.0
102,1697649948103.0,11,1,0.33,0,0,0,0,0.0
103,1697649948103.0,11,2,0.29,1,0,1,20,0.0
104,1697649948103.0,11,3,0.45,0,0,0,0,0.0
105,1697649948103.0,11,4,0.35,0,0,0,20,0.0
106,1697649948103.0,11,5,0.27,0,0,0,0,0.0
107,1697649948103.0,11,6,0.03,1,0,1,20,0.0
108,1697649950066.0,1,2,0.29,1,0,1,23,0.0
109,1697649950066.0,1,7,0.25,0,0,0,0,0.0
110,1697649950066.0,1,6,0.42,1,0,1,0,0.0
111,1697649950066.0,1,1,0.05,0,0,0,0,0.0
112,1697649948291.0,2,1,0.43,0,0,0,0,0.0
113,1697649948291.0,2,2,0.09,0,1,1,29,0.0
114,1697649948291.0,2,3,0.24,1,0,0,0,0.0
115,1697649948291.0,2,4,0.19,0,0,0,39,0.0
116,1697649948996.0,3,1,0.09,0,0,0,0,0.0
117,1697649948996.0,3,2,0.22,1,1,1,31,0.0
118,1697649948996.0,3,3,0.1,0,0,0,0,0.0
119,1697649948996.0,3,4,0.38,0,0,0,26,0.0
120,1697649949462.0,4,1,1.0,0,0,0,0,0.0
121,1697649949462.0,4,2,4.0,0,1,0,26,0.0
122,1697649949462.0,4,3,0.0,0,0,0,0,0.0
123,1697649949462.0,4,4,6.0,0,1,1,22,0.0
124,1697649948226.0,5,1,0.24,0,0,0,0,0.0
125,1697649948226.0,5,2,0.31,0,1,1,19,0.0
126,1697649948226.0,5,4,0.34,1,0,0,23,0.0
127,1697649950201.0,6,2,0.43,0,1,1,17,0.0
128,1697649950201.0,6,4,0.02,1,0,0,25,0.0
129,1697649949546.0,7,2,0.19,0,1,0,20,0.0
130,1697649949546.0,7,4,0.18,0,0,0,20,0.0
131,1697649950184.0,8,2,0.35,1,1,1,21,0.0
132,1697649950184.0,8,4,0.4,0,1,0,29,0.0
133,1697649950184.0,8,1,0.05,0,0,0,0,0.0
134,1697649949501.0,9,2,0.2,1,1,1,18,0.0
135,1697649949501.0,9,4,0.22,0,0,0,20,0.0
136,1697649950228.0,10,2,0.04,1,1,1,0,0.0
137,1697649950228.0,10,4,0.0,0,0,0,20,0.0
138,1697649948203.0,11,1,0.09,0,0,0,0,0.0
139,1697649948203.0,11,2,0.11,1,0,1,20,0.0
140,1697649948203.0,11,3,0.0,0,0,0,0,0.0
141,1697649948203.0,11,4,0.13,0,0,0,20,0.0
142,1697649948203.0,11,5,0.48,0,0,0,0,0.0
143,1697649948203.0,11,6,0.47,1,0,1,20,0.0
144,1697649950266.0,1,2,0.14,1,0,1,23,0.0
145,1697649950266.0,1,7,0.48,0,0,0,0,0.0
146,1697649950266.0,1,6,0.43,1,0,1,0,0.0
147,1697649950266.0,1,1,0.31,0,0,0,0,0.0
148,1697649948391.0,2,1,0.08,0,0,0,0,0.0
149,1697649948391.0,2,2,0.13,0,1,1,29,0.0
150,1697649948391.0,2,3,0.47,1,0,0,0,0.0
151,1697649948391.0,2,4,0.22,0,0,0,39,0.0
152,1697649949196.0,3,1,0.03,0,0,0,0,0.0
153,1697649949196.0,3,2,0.46,1,1,1,31,0.0
154,1697649949196.0,3,3,0.41,0,0,0,0,0.0
155,1697649949196.0,3,4,0.39,0,0,0,26,0.0
156,1697649949661.0,4,1,1.0,0,0,0,0,0.0
157,1697649949661.0,4,2,4.0,0,1,0,26,0.0
158,1697649949661.0,4,3,0.0,0,0,0,0,0.0
159,1697649949661.0,4,4,6.0,0,1,1,22,0.0
160,1697649948326.0,5,1,0.38,0,0,0,0,0.0
161,1697649948326.0,5,2,0.27,0,1,1,19,0.0
162,1697649948326.0,5,4,0.16,1,0,0,23,0.0
163,1697649950301.0,6,2,0.47,0,1,1,17,0.0
164,1697649950301.0,6,4,0.21,1,0,0,25,0.0
165,1697649949646.0,7,2,0.16,0,1,0,20,0.0
166,1697649949646.0,7,4,0.08,0,0,0,20,0.0
167,1697649950385.0,8,2,0.25,1,1,1,21,0.0
168,1697649950385.0,8,4,0.09,0,1,0,29,0.0
169,1697649950385.0,8,1,0.05,0,0,0,0,0.0
170,1697649949601.0,9,2,0.28,1,1,1,18,0.0
171,1697649949601.0,9,4,0.49,0,0,0,20,0.0
172,1697649950328.0,10,2,0.01,1,1,1,0,0.0
173,1697649950328.0,10,4,0.32,0,0,0,20,0.0
174,1697649948303.0,11,1,0.33,0,0,0,0,0.0
175,1697649948303.0,11,2,0.09,1,0,1,20,0.0
176,1697649948303.0,11,3,0.48,0,0,0,0,0.0
177,1697649948303.0,11,4,0.04,0,0,0,20,0.0
178,1697649948303.0,11,5,0.05,0,0,0,0,0.0
179,1697649948303.0,11,6,0.35,1,0,1,20,0.0
180,1697649950266.0,1,2,0.21,1,0,1,23,0.0
181,1697649950266.0,1,7,0.25,0,0,0,0,0.0
182,1697649950266.0,1,6,0.21,1,0,1,0,0.0
183,1697649950266.0,1,1,0.04,0,0,0,0,0.0
184,1697649948492.0,2,1,0.0,0,0,0,0,0.0
185,1697649948492.0,2,2,0.27,0,1,1,29,0.0
186,1697649948492.0,2,3,0.03,1,0,0,0,0.0
187,1697649948492.0,2,4,0.2,0,0,0,39,0.0
188,1697649949196.0,3,1,0.19,0,0,0,0,0.0
189,1697649949196.0,3,2,0.49,1,1,1,31,0.0
190,1697649949196.0,3,3,0.44,0,0,0,0,0.0
191,1697649949196.0,3,4,0.04,0,0,0,26,0.0
192,1697649949661.0,4,1,1.0,0,0,0,0,0.0
193,1697649949661.0,4,2,4.0,0,1,0,26,0.0
194,1697649949661.0,4,3,0.0,0,0,0,0,0.0
195,1697649949661.0,4,4,6.0,0,1,1,22,0.0
196,1697649948326.0,5,1,0.35,0,0,0,0,0.0
197,1697649948326.0,5,2,0.46,0,1,1,19,0.0
198,1697649948326.0,5,4,0.03,1,0,0,23,0.0
199,1697649950301.0,6,2,0.15,0,1,1,17,0.0
200,1697649950301.0,6,4,0.24,1,0,0,25,0.0
201,1697649949646.0,7,2,0.48,0,1,0,20,0.0
202,1697649949646.0,7,4,0.33,0,0,0,20,0.0
203,1697649950385.0,8,2,0.19,1,1,1,21,0.0
204,1697649950385.0,8,4,0.02,0,1,0,29,0.0
205,1697649950385.0,8,1,0.25,0,0,0,0,0.0
206,1697649949601.0,9,2,0.36,1,1,1,18,0.0
207,1697649949601.0,9,4,0.28,0,0,0,20,0.0
208,1697649950429.0,10,2,0.03,1,1,1,0,0.0
209,1697649950429.0,10,4,0.37,0,0,0,20,0.0
210,1697649948303.0,11,1,0.44,0,0,0,0,0.0
211,1697649948303.0,11,2,0.14,1,0,1,20,0.0
212,1697649948303.0,11,3,0.3,0,0,0,0,0.0
213,1697649948303.0,11,4,0.18,0,0,0,20,0.0
214,1697649948303.0,11,5,0.03,0,0,0,0,0.0
215,1697649948303.0,11,6,0.06,1,0,1,20,0.0
216,1697649950366.0,1,2,0.3,1,0,1,23,0.0
217,1697649950366.0,1,7,0.07,0,0,0,0,0.0
