2,1,2023-10-11 14:20:53.604000
3,1,2023-10-11 14:20:06.752000
3,2,2023-10-11 14:20:43.946000
6,1,2023-10-11 14:20:06.527000
6,2,2023-10-11 14:20:28.222000
6,3,2023-10-11 14:21:05.322000
7,1,2023-10-11 14:20:06.762000
7,2,2023-10-11 14:20:32.657000
8,1,2023-10-11 14:20:06.555000
8,2,2023-10-11 14:20:32.550000
9,1,2023-10-11 14:20:06.551000
10,1,2023-10-11 14:20:06.593000
10,2,2023-10-11 14:20:21.890000
10,3,2023-10-11 14:20:52.887000
11,1,2023-10-11 14:20:31.935000
11,2,2023-10-11 14:21:04.235000
