1,1,2023-10-12 09:55:14.845000
1,2,2023-10-12 09:55:36.741000
1,3,2023-10-12 09:56:14.936000
2,1,2023-10-12 09:55:14.727000
2,2,2023-10-12 09:55:50.622000
3,1,2023-10-12 09:56:04.800000
4,1,2023-10-12 09:55:14.716000
4,2,2023-10-12 09:55:41.512000
5,1,2023-10-12 09:56:14.634000
6,1,2023-10-12 09:55:14.519000
6,2,2023-10-12 09:55:36.216000
6,3,2023-10-12 09:56:12.911000
7,1,2023-10-12 09:55:14.665000
7,2,2023-10-12 09:55:39.861000
8,1,2023-10-12 09:55:14.521000
9,1,2023-10-12 09:55:51.221000
10,1,2023-10-12 09:55:46.046000
10,2,2023-10-12 09:56:18.341000
11,1,2023-10-12 09:55:46.622000
11,2,2023-10-12 09:56:18.718000
