1,1,1,1,2023-10-23 13:26:03.310000
1,1,1,2,2023-10-23 13:26:24.007000
1,1,3,2023-10-23 13:27:38.307000
1,1,4,2023-10-23 13:28:20.511000
1,5,2023-10-23 13:30:00.921000
2,2,2,1,2023-10-23 13:26:43.046000
2,2,2023-10-23 13:29:02.857000
3,3,3,1,2023-10-23 13:26:52.322000
3,3,2,2023-10-23 13:28:07.124000
3,3,2023-10-23 13:29:16.734000
4,4,1,2023-10-23 13:27:31.360000
4,2,2023-10-23 13:28:44.167000
4,3,2023-10-23 13:29:56.972000
5,5,5,1,2023-10-23 13:26:07.820000
5,5,5,2,2023-10-23 13:26:34.351000
5,5,3,2023-10-23 13:27:23.852000
5,5,4,2023-10-23 13:28:17.356000
5,5,2023-10-23 13:29:17.763000
6,6,6,1,2023-10-23 13:26:02.302000
6,6,6,2,2023-10-23 13:26:59.883000
6,6,3,2023-10-23 13:28:17.387000
6,4,2023-10-23 13:29:43.693000
7,7,7,1,2023-10-23 13:26:15.075000
7,7,7,2,2023-10-23 13:26:40.374000
7,7,3,2023-10-23 13:27:27.275000
7,7,4,2023-10-23 13:28:13.977000
7,5,2023-10-23 13:29:00.184000
7,6,2023-10-23 13:29:46.885000
8,8,1,2023-10-23 13:27:22.210000
8,2,2023-10-23 13:28:39.517000
8,3,2023-10-23 13:29:53.922000
9,9,9,1,2023-10-23 13:26:03.474000
9,9,9,2,2023-10-23 13:26:26.670000
9,9,9,3,2023-10-23 13:27:02.670000
9,9,4,2023-10-23 13:27:39.371000
9,9,5,2023-10-23 13:28:22.275000
9,6,2023-10-23 13:28:58.380000
9,7,2023-10-23 13:29:34.880000
10,10,1,2023-10-23 13:27:37.744000
10,10,2,2023-10-23 13:28:07.744000
10,3,2023-10-23 13:28:43.151000
10,4,2023-10-23 13:29:18.154000
10,5,2023-10-23 13:29:48.154000
11,11,11,1,2023-10-23 13:25:55.876000
