,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
0,1697652784523.0,1,0,7.7,39.3,1,True,True
1,1697652782759.0,2,1,9.7,17.9,0,True,True
2,1697652783366.0,3,0,20.3,90.2,1,True,True
3,1697652783919.0,4,0,3.9,47.3,0,True,True
4,1697652782601.0,5,1,21.4,62.3,1,True,True
5,1697652784562.0,6,1,19.8,34.9,1,True,True
6,1697652783912.0,7,1,17.9,17.9,0,True,True
7,1697652784551.0,8,0,20.2,31.3,0,True,True
8,1697652783868.0,9,0,0.0,0.0,1,True,True
9,1697652784676.0,10,0,0.0,0.0,1,True,True
10,1697652782572.0,11,1,32.4,51.5,1,True,True
11,1697652784723.0,1,0,7.9,39.5,1,True,True
12,1697652782859.0,2,1,9.8,18.0,0,True,True
13,1697652783467.0,3,0,20.4,90.3,1,True,True
14,1697652784019.0,4,0,4.0,47.4,0,True,True
15,1697652782701.0,5,1,21.5,62.4,1,True,True
16,1697652784762.0,6,1,20.0,35.1,1,True,True
17,1697652784012.0,7,1,18.0,18.0,0,True,True
18,1697652784651.0,8,0,20.3,31.4,0,True,True
19,1697652783968.0,9,0,0.0,0.0,1,True,True
20,1697652784776.0,10,0,0.0,0.0,1,True,True
21,1697652782672.0,11,0,0.1,0.1,0,True,True
22,1697652781303.493,1,0,4.5,36.1,1,True,True
23,1697652782959.0,2,1,9.9,18.1,0,True,True
24,1697652781320.494,3,0,18.3,88.1,1,True,True
25,1697652784118.0,4,0,4.1,47.5,0,True,True
26,1697652782801.0,5,1,21.6,62.5,1,True,True
27,1697652784862.0,6,1,20.1,35.2,1,True,True
28,1697652784112.0,7,1,18.1,18.1,0,True,True
29,1697652784851.0,8,0,20.5,31.6,0,True,True
30,1697652784068.0,9,0,0.0,0.0,1,True,True
31,1697652784876.0,10,0,0.0,0.0,1,True,True
32,1697652782872.0,11,0,0.3,0.3,0,True,True
33,1697652784923.0,1,0,8.1,39.7,1,True,True
34,1697652783059.0,2,1,10.0,18.2,0,True,True
35,1697652783766.0,3,0,20.7,90.6,1,True,True
36,1697652784319.0,4,0,4.3,47.7,0,True,True
37,1697652783002.0,5,1,21.8,62.7,1,True,True
38,1697652784962.0,6,1,20.2,35.3,1,True,False
39,1697652784312.0,7,1,18.3,18.3,0,True,True
40,1697652784951.0,8,0,20.6,31.7,0,True,True
41,1697652784268.0,9,0,0.0,0.0,1,True,True
42,1697652784976.0,10,0,0.0,0.0,1,True,True
43,1697652782972.0,11,0,0.4,0.4,0,True,True
44,1697652785023.0,1,0,8.2,39.8,1,True,True
45,1697652783259.0,2,1,10.2,18.4,0,True,True
46,1697652783866.0,3,0,20.8,90.7,1,True,True
