,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
0,1697133332244,1,0,4.0,46.0,1,True,True
1,1697133330222,2,1,158.8,0.0,0,True,True
2,1697133330222,3,0,23.5,107.8,1,True,True
3,1697133332095,4,1,7.0,42.2,0,True,True
4,1697133331922,5,1,27.0,71.1,1,True,True
5,1697133331917,6,1,17.8,32.8,1,True,True
6,1697133331998,7,1,41.1,62.7,1,False,True
7,1697133331964,8,0,7.1,42.1,1,True,True
8,1697133331970,9,1,158.7,38.7,1,True,False
9,1697133332002,10,0,5.7,20.8,1,True,True
10,1697133330230,11,1,154.5,0.0,0,True,True
11,1697133332244,1,0,4.0,46.0,1,True,True
12,1697133330322,2,1,158.9,0.0,0,True,True
13,1697133330322,3,0,23.6,107.9,1,True,True
14,1697133332195,4,1,7.1,42.3,0,True,True
15,1697133332022,5,1,27.1,71.2,1,True,True
16,1697133332117,6,1,18.0,33.0,1,True,True
17,1697133332198,7,1,41.3,62.9,1,False,True
18,1697133332065,8,0,7.2,42.2,1,True,True
19,1697133332170,9,1,158.9,38.9,1,True,False
20,1697133332102,10,0,5.8,20.9,1,True,True
21,1697133330330,11,1,154.6,0.0,0,True,True
22,1697133332445,1,0,4.2,46.2,1,True,True
23,1697133330423,2,1,159.0,0.0,0,True,True
24,1697133330423,3,0,23.7,108.0,1,True,True
25,1697133332395,4,1,7.3,42.5,0,True,True
26,1697133332222,5,1,27.3,71.4,1,True,True
27,1697133332217,6,1,18.1,33.1,1,True,True
28,1697133332398,7,1,41.5,63.1,1,False,True
29,1697133332165,8,0,7.3,42.3,1,True,True
30,1697133332270,9,1,159.0,39.0,1,True,False
31,1697133332302,10,0,6.0,21.1,1,True,True
32,1697133330431,11,1,154.7,0.0,0,True,True
33,1697133332644,1,0,4.4,46.4,1,True,True
34,1697133330622,2,1,159.2,0.0,0,True,True
35,1697133330622,3,0,23.9,108.2,1,True,True
36,1697133332496,4,1,7.4,42.6,0,True,True
37,1697133332322,5,0,0.1,0.1,0,True,True
38,1697133332317,6,1,18.2,33.2,1,True,True
39,1697133332499,7,1,41.6,63.2,1,False,True
40,1697133332365,8,0,7.5,42.5,1,True,True
41,1697133332370,9,1,159.1,39.1,1,True,False
42,1697133332403,10,0,6.1,21.2,1,True,True
43,1697133330630,11,1,154.9,0.0,0,True,True
44,1697133332744,1,0,4.5,46.5,1,True,True
45,1697133330722,2,1,159.3,0.0,0,True,True
46,1697133330722,3,0,24.0,108.3,1,True,True
47,1697133332595,4,1,7.5,42.7,0,True,True
48,1697133332423,5,0,0.2,0.2,0,True,True
49,1697133332418,6,1,18.3,33.3,1,True,True
50,1697133332698,7,1,41.8,63.4,1,False,True
51,1697133332466,8,0,7.6,42.6,1,True,True
52,1697133332570,9,1,159.3,39.3,1,True,False
53,1697133332502,10,0,6.2,21.3,1,True,True
54,1697133330730,11,1,155.0,0.0,0,True,True
55,1697133332744,1,0,4.5,46.5,1,True,True
56,1697133330822,2,1,159.4,0.0,0,True,True
57,1697133330822,3,0,24.1,108.4,1,True,True
58,1697133332795,4,1,7.7,42.9,0,False,True
59,1697133332622,5,0,0.4,0.4,0,True,True
60,1697133332617,6,1,18.5,33.5,1,True,True
61,1697133332798,7,1,41.9,63.5,1,False,True
62,1697133332565,8,0,7.7,42.7,1,True,True
63,1697133332670,9,1,159.4,39.4,1,True,False
64,1697133332602,10,0,6.3,21.4,1,True,True
65,1697133330830,11,1,155.1,0.0,0,True,True
66,1697133332944,1,0,4.7,46.7,1,True,True
67,1697133331022,2,1,159.6,0.0,0,True,True
68,1697133331022,3,0,24.3,108.6,1,True,True
69,1697133332895,4,1,7.8,43.0,0,True,True
70,1697133332722,5,0,0.5,0.5,0,True,True
71,1697133332717,6,1,18.6,33.6,1,True,True
72,1697133332898,7,1,42.0,63.6,1,False,True
73,1697133332665,8,0,7.8,42.8,1,True,True
74,1697133332770,9,1,159.5,39.5,1,False,False
75,1697133332802,10,0,6.5,21.6,1,True,True
76,1697133330930,11,1,155.2,0.0,0,True,True
77,1697133333144,1,0,4.9,46.9,1,True,True
78,1697133331122,2,1,159.7,0.0,0,True,True
79,1697133331122,3,0,24.4,108.7,1,True,True
80,1697133332995,4,1,7.9,43.1,0,True,True
81,1697133332822,5,0,0.6,0.6,0,True,True
82,1697133332817,6,1,18.7,33.7,1,True,True
83,1697133332998,7,1,42.1,63.7,1,False,True
84,1697133332865,8,0,8.0,43.0,1,True,True
85,1697133332870,9,1,159.6,39.6,1,False,False
86,1697133332902,10,0,6.6,21.7,1,True,True
87,1697133331130,11,1,155.4,0.0,0,True,True
88,1697133333244,1,0,5.0,47.0,1,True,True
89,1697133331222,2,1,159.8,0.0,0,True,True
90,1697133331222,3,0,24.5,108.8,1,True,True
91,1697133333195,4,1,8.1,43.3,0,True,True
92,1697133332922,5,0,0.7,0.7,0,True,True
93,1697133333018,6,1,18.9,33.9,1,True,True
94,1697133333198,7,1,42.3,63.9,1,False,True
95,1697133332965,8,0,8.1,43.1,1,True,True
96,1697133333071,9,1,159.8,39.8,1,False,False
97,1697133333002,10,0,6.7,21.8,1,True,True
98,1697133331230,11,1,155.5,0.0,0,True,True
99,1697133333344,1,0,5.1,47.1,1,True,True
100,1697133331322,2,1,159.9,0.0,0,True,True
101,1697133331322,3,0,24.6,108.9,1,True,True
102,1697133333195,4,1,8.1,43.3,0,True,True
103,1697133333023,5,0,0.8,0.8,0,True,True
104,1697133333118,6,1,19.0,34.0,1,True,True
105,1697133333198,7,1,42.3,63.9,1,False,True
106,1697133333065,8,0,8.2,43.2,1,True,True
107,1697133333171,9,1,159.9,39.9,1,False,False
108,1697133333102,10,0,6.8,21.9,1,True,True
109,1697133331330,11,1,155.6,0.0,0,True,True
110,1697133333445,1,0,5.2,47.2,1,True,True
111,1697133331423,2,1,160.0,0.0,0,True,True
112,1697133331423,3,0,24.7,109.0,1,True,True
113,1697133333395,4,1,8.3,43.5,0,True,True
114,1697133333223,5,0,1.0,1.0,0,True,True
115,1697133333218,6,1,19.1,34.1,1,True,True
116,1697133333398,7,1,42.5,64.1,1,False,True
117,1697133333165,8,0,8.3,43.3,1,True,True
118,1697133333271,9,1,160.0,40.0,1,False,False
119,1697133333302,10,0,7.0,22.1,1,True,True
120,1697133331431,11,1,155.7,0.0,0,True,True
121,1697133333644,1,0,5.4,47.4,1,True,True
122,1697133331622,2,1,160.2,0.0,0,True,True
123,1697133331622,3,0,24.9,109.2,1,True,True
124,1697133333496,4,1,8.4,43.6,0,True,True
125,1697133333323,5,0,1.1,1.1,0,True,True
126,1697133333318,6,1,19.2,34.2,1,True,True
127,1697133333598,7,1,42.7,64.3,1,False,True
128,1697133333365,8,0,8.5,43.5,1,True,True
129,1697133333371,9,1,160.1,40.1,1,False,False
130,1697133333403,10,0,7.1,22.2,1,True,True
131,1697133331630,11,1,155.9,0.0,0,True,True
132,1697133333744,1,0,5.5,47.5,1,True,True
133,1697133331722,2,1,160.3,0.0,0,True,True
134,1697133331722,3,0,25.0,109.3,1,True,True
135,1697133333595,4,1,8.5,43.7,0,True,True
136,1697133333424,5,0,1.2,1.2,0,True,True
137,1697133333518,6,1,19.4,34.4,1,True,True
138,1697133333598,7,1,42.7,64.3,1,False,True
139,1697133333466,8,0,8.6,43.6,1,True,True
140,1697133333571,9,1,160.3,40.3,1,False,False
141,1697133333502,10,0,7.2,22.3,1,True,True
142,1697133331730,11,1,156.0,0.0,0,True,True
143,1697133333844,1,0,5.6,47.6,1,True,True
144,1697133331822,2,1,160.4,0.0,0,True,True
145,1697133331822,3,0,25.1,109.4,1,True,True
146,1697133333795,4,1,8.7,43.9,0,True,True
147,1697133333623,5,0,1.4,1.4,0,True,True
148,1697133333618,6,1,19.5,34.5,1,True,True
149,1697133333798,7,1,42.9,64.5,1,False,True
150,1697133333565,8,0,8.7,43.7,1,True,True
151,1697133333671,9,1,160.4,40.4,1,False,False
152,1697133333602,10,0,7.3,22.4,1,True,True
153,1697133331830,11,1,156.1,0.0,0,True,True
154,1697133333944,1,0,5.7,47.7,1,True,True
155,1697133332022,2,1,160.6,0.0,0,True,True
156,1697133332022,3,0,25.3,109.6,1,True,True
157,1697133333895,4,1,8.8,44.0,0,True,True
158,1697133333723,5,0,1.5,1.5,0,True,True
159,1697133333718,6,1,19.6,34.6,1,True,False
160,1697133333898,7,0,0.1,0.1,0,True,False
161,1697133333665,8,0,8.8,43.8,1,True,True
162,1697133333771,9,1,160.5,40.5,1,False,False
163,1697133333802,10,0,7.5,22.6,1,True,True
164,1697133331930,11,1,156.2,0.0,0,True,True
165,1697133334144,1,0,5.9,47.9,1,True,True
166,1697133332122,2,1,160.7,0.0,0,True,True
167,1697133332122,3,0,25.4,109.7,1,True,True
168,1697133333995,4,1,8.9,44.1,0,True,True
169,1697133333823,5,0,1.6,1.6,0,True,True
170,1697133333818,6,1,19.7,34.7,1,True,True
171,1697133333998,7,0,0.2,0.2,0,True,False
172,1697133333865,8,0,9.0,44.0,1,True,True
173,1697133333871,9,1,160.6,40.6,1,False,False
174,1697133333902,10,0,7.6,22.7,1,True,True
175,1697133332130,11,1,156.4,0.0,0,True,True
176,1697133334244,1,0,6.0,48.0,1,True,True
177,1697133332222,2,1,160.8,0.0,0,True,True
178,1697133332222,3,0,25.5,109.8,1,True,True
179,1697133334195,4,1,9.1,44.3,0,True,True
180,1697133334023,5,0,1.8,1.8,0,True,True
181,1697133334018,6,1,19.9,34.9,1,True,True
182,1697133334198,7,0,0.4,0.4,0,True,False
183,1697133333965,8,0,9.1,44.1,1,True,True
184,1697133334071,9,1,160.8,40.8,1,False,False
185,1697133334002,10,0,7.7,22.8,1,True,True
186,1697133332230,11,1,156.5,0.0,0,True,True
