1,1,2023-10-13 09:53:04.522000
2,1,2023-10-13 09:52:27.662000
2,2,2023-10-13 09:53:01.075000
3,1,2023-10-13 09:53:17.722000
4,1,2023-10-13 09:52:27.736000
4,2,2023-10-13 09:52:58.648000
5,1,2023-10-13 09:52:27.718000
5,2,2023-10-13 09:52:55.229000
6,1,2023-10-13 09:52:32.295000
7,1,2023-10-13 09:52:27.753000
7,2,2023-10-13 09:52:52.863000
8,1,2023-10-13 09:52:27.711000
8,2,2023-10-13 09:52:53.722000
9,1,2023-10-13 09:52:27.712000
9,2,2023-10-13 09:52:51.722000
9,3,2023-10-13 09:53:28.029000
10,1,2023-10-13 09:52:27.728000
10,2,2023-10-13 09:52:43.435000
10,3,2023-10-13 09:53:14.445000
11,1,2023-10-13 09:52:27.770000
11,2,2023-10-13 09:52:44.076000
11,3,2023-10-13 09:53:30.586000
