,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
0,1697205147808.0,1,0,0.0,0.0,0,True,True
1,1697205147662.0,2,0,0.0,0.0,1,True,True
2,1697205147705.0,3,0,0.0,0.0,0,True,True
3,1697205147736.0,4,0,0.0,0.0,0,True,True
4,1697205147718.0,5,0,0.0,0.0,1,True,True
5,1697205147693.0,6,0,0.0,0.0,1,True,True
6,1697205147753.0,7,0,0.0,0.0,1,True,True
7,1697205147711.0,8,0,0.0,0.0,1,True,True
8,1697205147712.0,9,0,0.0,0.0,1,True,True
9,1697205147728.0,10,0,0.0,0.0,1,True,True
10,1697205147770.0,11,0,0.0,0.0,1,True,True
11,1697205145919.811,1,0,-1.9,0.0,0,True,True
12,1697205145911.65,2,0,0.0,-1.8,1,True,True
13,1697205145912.649,3,0,0.0,0.0,0,True,True
14,1697205145913.6492,4,0,0.0,-1.8,0,True,True
15,1697205145914.649,5,0,0.0,-1.8,1,True,True
16,1697205145915.649,6,0,0.0,0.0,1,True,True
17,1697205145916.6492,7,0,-1.8,-1.8,1,True,True
18,1697205147811.0,8,0,0.1,0.1,1,True,True
19,1697205145918.808,9,0,-1.8,-1.8,1,True,True
20,1697205147828.0,10,0,0.1,0.1,1,True,True
21,1697205145925.8079,11,0,0.0,-1.8,1,True,True
22,1697205147908.0,1,0,0.1,0.0,0,True,True
23,1697205147762.0,2,0,0.1,0.1,1,True,True
24,1697205147905.0,3,0,0.2,0.0,0,True,True
25,1697205147836.0,4,0,0.1,0.1,0,True,True
26,1697205147818.0,5,0,0.1,0.1,1,True,True
27,1697205147793.0,6,0,0.0,0.0,1,True,True
28,1697205147953.0,7,0,0.2,0.2,1,True,True
29,1697205146023.812,8,0,0.0,-1.7,1,True,True
30,1697205147812.0,9,0,0.1,0.1,1,True,True
31,1697205147928.0,10,0,0.2,0.2,1,True,True
32,1697205147870.0,11,0,0.1,0.1,1,True,True
33,1697205148009.0,1,0,0.2,0.0,0,True,True
34,1697205147862.0,2,0,0.2,0.2,1,True,True
35,1697205146121.762,3,0,0.0,0.0,0,True,True
36,1697205147936.0,4,0,0.2,0.2,0,True,True
37,1697205148019.0,5,0,0.3,0.3,1,True,True
38,1697205147893.0,6,0,0.0,0.0,1,True,True
39,1697205148053.0,7,0,0.3,0.3,1,True,True
40,1697205148012.0,8,0,0.3,0.3,1,True,True
