1,1,2023-10-12 13:10:59.826000
1,2,2023-10-12 13:11:20.525000
1,3,2023-10-12 13:11:57.728000
2,1,2023-10-12 13:11:39.498000
3,1,2023-10-12 13:10:57.794000
3,2,2023-10-12 13:11:36.396000
5,1,2023-10-12 13:11:59.891000
6,1,2023-10-12 13:10:59.601000
6,2,2023-10-12 13:11:22.401000
6,3,2023-10-12 13:12:02.404000
7,1,2023-10-12 13:10:59.773000
7,2,2023-10-12 13:11:25.173000
9,1,2023-10-12 13:10:59.629000
9,2,2023-10-12 13:11:23.229000
9,3,2023-10-12 13:12:00.731000
10,1,2023-10-12 13:10:59.593000
10,2,2023-10-12 13:11:14.892000
10,3,2023-10-12 13:11:45.695000
11,1,2023-10-12 13:11:30.605000
