,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697828298467.0,1,2,0.23,0,0,1,23,1.5
1,1697828298467.0,1,7,0.41,0,0,0,0,21.693
2,1697828298467.0,1,6,0.22,1,0,1,0,0.0
3,1697828298467.0,1,1,0.41,0,0,0,0,38.091
4,1697828297680.0,2,1,0.25,0,0,0,0,16.494
5,1697828297680.0,2,2,0.29,0,1,1,26,92.799
6,1697828297680.0,2,3,0.42,0,0,0,0,27.191
7,1697828297680.0,2,4,0.4,0,0,0,36,2.199
8,1697828297384.0,3,1,4.0,0,0,0,0,126.897
9,1697828297384.0,3,2,6.0,0,1,1,31,11.395
10,1697828297384.0,3,3,2.0,0,0,0,0,118.999
11,1697828297384.0,3,4,5.0,1,0,0,26,0.0
12,1697828297842.0,4,1,8.0,0,0,0,0,145.294
13,1697828297842.0,4,2,6.0,0,1,0,26,2.8
14,1697828297842.0,4,3,4.0,0,0,0,0,62.794
15,1697828297842.0,4,4,9.0,0,1,1,22,34.99
16,1697828297612.0,5,1,3.0,0,0,0,0,97.899
17,1697828297612.0,5,2,8.0,1,1,1,19,0.0
18,1697828297612.0,5,4,1.0,0,0,0,23,10.195
19,1697828298519.0,6,2,1.0,0,1,1,17,14.794
20,1697828298519.0,6,4,0.0,1,0,0,25,0.0
21,1697828297890.0,7,2,0.25,0,1,0,20,12.195
22,1697828297890.0,7,4,0.27,1,0,0,20,0.0
23,1697828298605.0,8,2,0.38,0,1,1,21,22.493
24,1697828298605.0,8,4,0.3,1,1,0,29,0.0
25,1697828298605.0,8,1,0.46,0,0,0,0,49.092
26,1697828297759.0,9,2,0.2,1,1,1,18,0.0
27,1697828297759.0,9,4,0.38,0,0,0,20,14.094
28,1697828298498.0,10,2,0.48,0,1,1,0,15.895
29,1697828298498.0,10,4,0.12,0,0,0,20,0.7
30,1697828297954.0,11,1,0.48,0,0,0,0,153.792
31,1697828297954.0,11,2,0.37,1,0,1,20,0.0
32,1697828297954.0,11,3,0.19,0,0,0,0,153.792
33,1697828297954.0,11,4,0.18,0,0,0,20,153.792
34,1697828297954.0,11,5,0.31,0,0,0,0,153.792
35,1697828297954.0,11,6,0.07,1,0,1,20,0.0
36,1697828298566.0,1,2,0.04,0,0,1,23,1.599
37,1697828298566.0,1,7,0.14,0,0,0,0,21.792
38,1697828298566.0,1,6,0.31,1,0,1,0,0.0
39,1697828298566.0,1,1,0.09,1,0,0,0,0.0
40,1697828297780.0,2,1,0.34,0,0,0,0,16.594
41,1697828297780.0,2,2,0.07,0,1,1,26,92.899
42,1697828297780.0,2,3,0.36,0,0,0,0,27.291
43,1697828297780.0,2,4,0.37,0,0,0,36,2.299
44,1697828297485.0,3,1,4.0,0,0,0,0,126.998
45,1697828297485.0,3,2,6.0,0,1,1,31,11.496
46,1697828297485.0,3,3,2.0,0,0,0,0,119.1
47,1697828297485.0,3,4,5.0,1,0,0,26,0.0
48,1697828297942.0,4,1,8.0,1,0,0,0,0.0
49,1697828297942.0,4,2,6.0,0,1,0,26,2.9
50,1697828297942.0,4,3,4.0,0,0,0,0,62.894
51,1697828297942.0,4,4,9.0,0,1,1,22,35.09
52,1697828297712.0,5,1,3.0,0,0,0,0,97.999
53,1697828297712.0,5,2,8.0,1,1,1,19,0.0
54,1697828297712.0,5,4,1.0,0,0,0,23,10.295
55,1697828298619.0,6,2,1.0,0,1,1,17,14.894
56,1697828298619.0,6,4,0.0,1,0,0,25,0.0
57,1697828297990.0,7,2,0.17,0,1,0,20,12.295
58,1697828297990.0,7,4,0.39,1,0,0,20,0.0
59,1697828298705.0,8,2,0.5,0,1,1,21,22.593
60,1697828298705.0,8,4,0.12,1,1,0,29,0.0
61,1697828298705.0,8,1,0.04,0,0,0,0,49.192
62,1697828297959.0,9,2,0.38,1,1,1,18,0.0
63,1697828297959.0,9,4,0.36,0,0,0,20,14.294
64,1697828298597.0,10,2,0.14,0,1,1,0,15.994
