datetime,node,signal_group,push_button pressed,request status
2023-10-13 10:24:02.192000,2,4,1,Button Pressed
2023-10-13 10:24:11.093000,2,4,1,Serving Push_Button Request
2023-10-13 10:24:50.086000,2,4,1,Next Button Pressed to current
2023-10-13 10:25:02.783000,2,4,1,Serving Push_Button Request
2023-10-13 10:25:41.881000,2,4,1,Next Button Pressed to current
2023-10-13 10:26:19.193000,2,4,1,Serving Push_Button Request
2023-10-13 10:26:58.205000,2,4,1,Next Button Pressed to current
2023-10-13 10:27:35.611000,2,4,1,Serving Push_Button Request
2023-10-13 10:26:12.535000,3,4,1,Button Pressed
2023-10-13 10:26:51.246000,3,4,1,Serving Push_Button Request
2023-10-13 10:27:20.254000,3,4,1,Next Button Pressed to current
2023-10-13 10:27:32.955000,3,4,1,Serving Push_Button Request
2023-10-13 10:23:17.441000,5,2,1,Button Pressed
2023-10-13 10:23:50.750000,5,2,1,Serving Push_Button Request
2023-10-13 10:24:12.754000,5,4,1,Next Button Pressed to current
2023-10-13 10:24:17.954000,5,4,1,Serving Push_Button Request
2023-10-13 10:24:45.949000,5,2,1,Next Button Pressed to current
2023-10-13 10:24:51.047000,5,2,1,Serving Push_Button Request
2023-10-13 10:25:13.041000,5,4,1,Next Button Pressed to current
2023-10-13 10:25:18.141000,5,4,1,Serving Push_Button Request
2023-10-13 10:25:46.144000,5,2,1,Next Button Pressed to current
2023-10-13 10:25:51.245000,5,2,1,Serving Push_Button Request
2023-10-13 10:26:13.253000,5,4,1,Next Button Pressed to current
2023-10-13 10:26:18.354000,5,4,1,Serving Push_Button Request
2023-10-13 10:26:46.363000,5,2,1,Next Button Pressed to current
2023-10-13 10:26:51.664000,5,2,1,Serving Push_Button Request
2023-10-13 10:27:13.670000,5,4,1,Next Button Pressed to current
2023-10-13 10:27:18.971000,5,4,1,Serving Push_Button Request
2023-10-13 10:27:46.872000,5,2,1,Next Button Pressed to current
2023-10-13 10:26:42.751000,8,4,1,Button Pressed
2023-10-13 10:26:59.255000,8,4,1,Serving Push_Button Request
2023-10-13 10:27:28.162000,8,4,1,Next Button Pressed to current
