1,1,2023-10-04 15:45:46.287000
1,2,2023-10-04 15:48:25.315000
1,3,2023-10-04 15:49:14.324000
1,4,2023-10-04 15:50:18.129000
1,5,2023-10-04 15:51:09.430000
1,6,2023-10-04 15:52:06.927000
2,1,2023-10-04 15:45:46.753000
2,2,2023-10-04 15:48:10.879000
2,3,2023-10-04 15:49:21.092000
3,1,2023-10-04 15:48:49.261000
3,2,2023-10-04 15:49:57.371000
3,3,2023-10-04 15:50:57.171000
5,1,2023-10-04 15:48:37.301000
6,1,2023-10-04 15:45:45.539000
6,2,2023-10-04 15:48:11.766000
6,3,2023-10-04 15:49:04.874000
6,4,2023-10-04 15:50:13.081000
7,1,2023-10-04 15:48:44.034000
7,2,2023-10-04 15:49:37.245000
7,3,2023-10-04 15:50:30.647000
7,4,2023-10-04 15:51:38.844000
9,1,2023-10-04 15:45:45.555000
9,2,2023-10-04 15:47:59.081000
9,3,2023-10-04 15:50:00.397000
9,4,2023-10-04 15:52:01.896000
10,1,2023-10-04 15:45:45.494000
10,2,2023-10-04 15:48:05.420000
10,3,2023-10-04 15:48:50.124000
10,4,2023-10-04 15:49:30.532000
10,5,2023-10-04 15:50:08.834000
10,6,2023-10-04 15:50:43.135000
10,7,2023-10-04 15:51:27.933000
10,8,2023-10-04 15:52:01.932000
11,1,2023-10-04 15:45:46.733000
11,2,2023-10-04 15:48:29.961000
11,3,2023-10-04 15:49:21.072000
11,4,2023-10-04 15:50:24.976000
11,5,2023-10-04 15:51:37.574000
