,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
1572,1697233384577.0,11,0,15.8,42.8,1,True,True
1573,1697233384739.0,1,1,11.6,11.6,0,True,True
1574,1697233384583.0,2,0,6.6,30.9,0,True,True
1575,1697233384646.0,3,1,80.3,0.0,0,True,True
1576,1697233384644.0,4,1,32.7,0.0,0,True,True
1577,1697233384177.0,5,1,84.7,84.7,1,True,True
1578,1697233384621.0,6,1,19.3,19.3,0,True,True
1579,1697233384683.0,7,0,13.0,13.0,0,True,True
1580,1697233384619.0,8,1,49.6,0.0,1,True,True
1581,1697233384602.0,9,1,17.5,17.5,0,True,False
1582,1697233384669.0,10,0,9.2,9.2,0,True,True
1583,1697233382307.878,11,0,13.5,40.5,1,True,True
1584,1697233382399.8809,1,1,9.3,9.3,0,True,True
1585,1697233384683.0,2,0,6.7,31.0,0,True,True
1586,1697233384746.0,3,1,80.4,0.0,0,True,True
1587,1697233384744.0,4,1,32.8,0.0,0,True,True
1588,1697233384277.0,5,1,84.8,84.8,1,True,True
1589,1697233384721.0,6,1,19.4,19.4,0,True,True
1590,1697233384783.0,7,0,13.1,13.1,0,True,True
1591,1697233384719.0,8,1,49.7,0.0,1,True,True
1592,1697233384802.0,9,1,17.7,17.7,0,True,True
1593,1697233384769.0,10,0,9.3,9.3,0,True,True
1594,1697233384777.0,11,0,16.0,43.0,1,True,True
1595,1697233384839.0,1,1,11.7,11.7,0,True,True
1596,1697233384783.0,2,0,6.8,31.1,0,True,True
1597,1697233384846.0,3,1,80.5,0.0,0,True,True
1598,1697233384844.0,4,1,32.9,0.0,0,True,True
1599,1697233384377.0,5,1,84.9,84.9,1,True,True
1600,1697233384821.0,6,1,19.5,19.5,0,True,True
1601,1697233384883.0,7,0,13.2,13.2,0,True,True
1602,1697233384819.0,8,1,49.8,0.0,1,True,True
1603,1697233384902.0,9,1,17.8,17.8,0,True,True
