1,1,1,2023-10-23 09:44:47.478000
1,1,2,2023-10-23 09:45:07.981000
1,3,2023-10-23 09:46:06.491000
2,1,2023-10-23 09:46:08.702000
3,1,2023-10-23 09:46:07.059000
4,1,2023-10-23 09:46:18.960000
5,1,2023-10-23 09:46:06.026000
5,2,2023-10-23 09:46:47.732000
6,1,2023-10-23 09:47:02.692000
7,7,1,2023-10-23 09:44:55.613000
7,7,2,2023-10-23 09:45:20.617000
7,3,2023-10-23 09:46:06.725000
7,4,2023-10-23 09:46:57.734000
8,8,1,2023-10-23 09:45:53.549000
8,2,2023-10-23 09:47:14.867000
9,1,2023-10-23 09:47:22.046000
10,1,2023-10-23 09:47:22.886000
11,11,1,2023-10-23 09:45:28.184000
11,2,2023-10-23 09:46:24.792000
11,3,2023-10-23 09:46:57.400000
