,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697133253240.0,1,2,0.11,0,0,1,23,8.397
1,1697133253240.0,1,7,0.05,1,0,0,0,0.0
2,1697133253240.0,1,6,0.49,0,0,1,0,8.397
3,1697133253240.0,1,1,0.46,0,0,0,0,8.397
4,1697133251218.0,2,1,0.32,0,0,0,0,79.779
5,1697133251218.0,2,2,0.13,0,1,1,29,79.779
6,1697133251218.0,2,3,0.31,1,0,0,0,0.0
7,1697133251218.0,2,4,0.37,0,0,0,39,76.48
8,1697133251218.0,3,1,0.2,0,0,0,0,29.891
9,1697133251218.0,3,2,0.21,0,1,1,33,29.891
10,1697133251218.0,3,3,0.28,1,0,0,0,0.0
11,1697133251218.0,3,4,0.07,1,0,0,29,0.0
12,1697133253091.0,4,1,0.32,0,0,0,0,2.799
13,1697133253091.0,4,2,0.05,0,1,0,22,2.999
14,1697133253091.0,4,3,0.04,1,0,0,0,0.0
15,1697133253091.0,4,4,0.47,0,1,0,19,30.589
16,1697133252919.0,5,1,0.26,1,0,0,0,0.0
17,1697133252919.0,5,2,0.06,1,1,1,22,0.0
18,1697133252919.0,5,4,0.42,0,1,0,28,20.395
19,1697133252914.0,6,2,0.32,0,1,1,17,7.298
20,1697133252914.0,6,4,0.07,1,0,0,25,0.0
21,1697133253094.0,7,2,1.0,1,1,0,20,0.0
22,1697133253094.0,7,4,1.0,0,0,0,20,34.789
23,1697133252961.0,8,2,2.0,0,1,1,21,10.397
24,1697133252961.0,8,4,0.0,0,1,0,29,46.686
25,1697133252961.0,8,1,0.0,0,0,0,0,10.397
26,1697133252967.0,9,2,3.0,1,1,1,18,0.0
27,1697133252967.0,9,4,0.0,0,0,0,20,79.68
28,1697133252999.0,10,2,0.2,0,1,1,0,3.599
29,1697133252999.0,10,4,0.03,1,0,0,20,0.0
30,1697133251226.0,11,1,0.39,0,0,0,0,71.88
31,1697133251226.0,11,2,0.5,0,0,1,20,79.779
32,1697133251226.0,11,3,0.25,1,0,0,0,0.0
33,1697133251226.0,11,4,0.36,1,0,0,20,0.0
34,1697133251226.0,11,5,0.18,0,0,0,0,79.779
35,1697133251226.0,11,6,0.29,0,0,1,20,71.88
36,1697133253340.0,1,2,0.28,0,0,1,23,8.497
37,1697133253340.0,1,7,0.27,1,0,0,0,0.0
38,1697133253340.0,1,6,0.41,0,0,1,0,8.497
39,1697133253340.0,1,1,0.44,0,0,0,0,8.497
40,1697133251318.0,2,1,0.03,0,0,0,0,79.879
41,1697133251318.0,2,2,0.13,0,1,1,29,79.879
42,1697133251318.0,2,3,0.44,1,0,0,0,0.0
43,1697133251318.0,2,4,0.21,0,0,0,39,76.58
