2,0.38,1,2023-10-12 15:45:56.193984,39.800000000000296
7,0.1,1,2023-10-12 15:45:56.193984,1.3
6,0.4,1,2023-10-12 15:45:56.193984,36.00000000000024
1,0.01,1,2023-10-12 15:45:56.193984,17.199999999999974
1,0.25,2,2023-10-12 15:45:56.194985,26.1000000000001
2,0.1,2,2023-10-12 15:45:56.194985,14.999999999999963
3,0.33,2,2023-10-12 15:45:56.194985,41.100000000000314
4,0.33,2,2023-10-12 15:45:56.194985,112.69999999999787
1,0.18,3,2023-10-12 15:45:56.196059,-0.4
2,0.36,3,2023-10-12 15:45:56.196059,-0.09999999999999998
3,0.44,3,2023-10-12 15:45:56.196059,52.70000000000048
4,0.48,3,2023-10-12 15:45:56.196059,85.09999999999944
1,7,4,2023-10-12 15:45:58.651791,87.99999999999928
2,5,4,2023-10-12 15:45:58.651791,101.89999999999849
3,4,4,2023-10-12 15:45:58.651791,25.000000000000085
4,6,4,2023-10-12 15:45:58.651791,117.89999999999758
1,0.5,5,2023-10-12 15:45:56.209985,34.200000000000216
2,0.17,5,2023-10-12 15:45:56.209985,1.2
4,0.02,5,2023-10-12 15:45:56.209985,16.89999999999997
2,0.45,6,2023-10-12 15:45:56.210983,3.800000000000002
4,0.42,6,2023-10-12 15:45:56.210983,23.700000000000067
2,0.21,7,2023-10-12 15:45:56.212979,19.200000000000003
4,0.03,7,2023-10-12 15:45:56.212979,0.1
2,0.06,8,2023-10-12 15:45:56.213981,101.49999999999851
4,0.34,8,2023-10-12 15:45:56.213981,16.499999999999964
1,0.04,8,2023-10-12 15:45:56.213981,54.4000000000005
2,0.19,9,2023-10-12 15:45:56.215985,4.6
4,0.43,9,2023-10-12 15:45:56.215985,51.90000000000047
2,0.09,10,2023-10-12 15:45:56.217979,0.10000000000000003
4,0.33,10,2023-10-12 15:45:56.217979,11.299999999999976
1,0.43,11,2023-10-12 15:45:56.218981,14.199999999999966
2,0.14,11,2023-10-12 15:45:56.218981,42.10000000000033
3,0.38,11,2023-10-12 15:45:56.218981,0.10000000000000003
4,0.4,11,2023-10-12 15:45:56.218981,0.30000000000000004
5,0.01,11,2023-10-12 15:45:56.218981,14.499999999999964
6,0.27,11,2023-10-12 15:45:56.218981,15.499999999999961
2,0.06,1,2023-10-12 15:45:56.320198,39.9000000000003
