1,1,2023-10-13 12:26:22.388000
1,2,2023-10-13 12:26:47.194000
1,3,2023-10-13 12:27:24.303000
3,1,2023-10-13 12:26:22.321000
3,2,2023-10-13 12:26:59.830000
5,1,2023-10-13 12:26:21.544000
5,2,2023-10-13 12:26:46.550000
5,3,2023-10-13 12:27:22.858000
6,1,2023-10-13 12:26:22.379000
6,2,2023-10-13 12:26:44.083000
6,3,2023-10-13 12:27:21.992000
7,1,2023-10-13 12:26:22.364000
7,2,2023-10-13 12:26:47.369000
8,1,2023-10-13 12:27:24.036000
9,1,2023-10-13 12:26:22.412000
9,2,2023-10-13 12:26:45.416000
9,3,2023-10-13 12:27:21.524000
10,1,2023-10-13 12:26:22.380000
10,2,2023-10-13 12:26:37.783000
10,3,2023-10-13 12:27:08.091000
11,1,2023-10-13 12:26:22.375000
11,2,2023-10-13 12:26:39.078000
11,3,2023-10-13 12:27:11.386000
