2,1,2023-10-13 10:43:51.091000
3,1,2023-10-13 10:43:54.836000
5,1,2023-10-13 10:43:41.851000
6,1,2023-10-13 10:43:05.303000
6,2,2023-10-13 10:43:27.107000
6,3,2023-10-13 10:44:03.919000
7,1,2023-10-13 10:43:05.370000
7,2,2023-10-13 10:43:30.674000
8,1,2023-10-13 10:43:05.330000
8,2,2023-10-13 10:43:31.435000
9,1,2023-10-13 10:43:10.425000
10,1,2023-10-13 10:43:05.428000
10,2,2023-10-13 10:43:21.029000
10,3,2023-10-13 10:43:51.138000
11,1,2023-10-13 10:43:37.289000
11,2,2023-10-13 10:44:09.601000
