,episode,time_sec,action,updated action
0,1,0.1,"0,0,0,0,1,0,1,1,0,0,0","0,0,0,0,1,0,0,0,0,0,0"
1,1,0.2,"1,0,1,1,0,1,0,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
2,1,0.3,"1,1,1,0,0,1,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
3,1,0.4,"0,0,1,1,0,0,0,1,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
4,1,0.5,"0,1,0,0,0,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
5,1,0.6,"0,0,0,0,1,1,0,0,1,1,0","0,0,0,0,1,0,0,0,0,0,0"
6,1,0.7,"1,1,0,0,0,1,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
7,1,0.8,"1,0,0,0,0,1,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
8,1,0.9,"0,0,0,0,1,0,0,1,1,0,1","0,0,0,0,1,0,0,0,0,0,0"
9,1,1.0,"0,1,0,1,0,1,1,1,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
10,1,1.1,"0,1,0,1,1,1,0,1,1,0,1","0,0,0,0,1,0,0,0,0,0,0"
11,1,1.2,"1,0,0,0,1,1,1,1,1,0,1","0,0,0,0,1,0,0,0,0,0,0"
12,1,1.3,"0,0,1,0,1,0,1,1,0,0,0","0,0,0,0,1,0,0,0,0,0,0"
13,1,1.4,"1,1,1,0,1,0,0,1,1,0,0","0,0,0,0,1,0,0,0,0,0,0"
14,1,1.5,"0,1,1,0,0,1,0,1,0,1,1","0,0,0,0,0,0,0,0,0,0,0"
15,1,1.6,"0,1,0,0,0,0,0,1,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
16,1,1.7,"1,0,0,0,0,1,0,1,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
17,1,1.8,"0,1,0,0,0,1,1,1,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
18,1,1.9,"1,0,0,0,0,0,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
19,1,2.0,"1,0,1,0,0,0,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
20,1,2.1,"1,0,0,0,1,0,0,1,1,1,1","0,0,0,0,1,0,0,0,0,0,0"
21,1,2.2,"0,0,0,1,0,0,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
22,1,2.3,"1,1,0,0,0,0,1,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
23,1,2.4,"1,1,1,0,0,0,1,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
24,1,2.5,"1,1,1,0,0,0,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
25,1,2.6,"0,0,0,0,0,0,0,1,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
