,episode,time_sec,action,updated action
58,1,185.9,"0,1,1,1,1,1,0,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
59,1,186.0,"0,1,0,1,1,0,1,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
60,1,186.1,"1,0,1,1,1,1,0,0,1,1,0","0,0,0,1,0,0,0,0,0,0,0"
61,1,186.2,"1,1,0,1,1,0,0,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
62,1,186.3,"0,1,1,1,1,0,0,1,1,1,0","0,1,0,1,0,0,0,1,0,0,0"
63,1,186.4,"0,1,0,1,1,1,1,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
64,1,186.5,"0,1,1,1,0,0,0,0,1,0,0","0,1,0,1,0,0,0,0,0,0,0"
65,1,186.6,"0,1,0,0,1,1,1,1,0,0,0","0,1,0,0,0,0,0,1,0,0,0"
66,1,186.7,"1,1,1,1,1,1,0,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
67,1,186.8,"0,1,0,0,1,1,0,0,0,0,1","0,1,0,0,0,0,0,0,0,0,1"
68,1,186.9,"1,0,0,1,0,0,0,0,0,1,1","0,0,0,1,0,0,0,0,0,0,1"
69,1,187.0,"0,1,1,0,0,1,1,1,0,0,1","0,1,0,0,0,0,0,1,0,0,1"
70,1,187.1,"1,1,0,0,1,1,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0"
71,1,187.2,"1,1,1,1,1,0,1,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
72,1,187.3,"0,0,0,1,1,1,0,1,0,1,1","0,0,0,1,0,0,0,1,0,0,1"
73,1,187.4,"1,1,1,1,0,0,0,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
74,1,187.5,"1,1,0,1,1,0,0,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
75,1,187.6,"1,1,0,1,1,1,0,0,1,1,1","0,1,0,1,0,0,0,0,0,0,1"
76,1,187.7,"1,1,1,1,1,1,0,0,0,1,1","0,1,0,1,0,0,0,0,0,0,1"
77,1,187.8,"1,1,0,1,1,1,0,1,0,1,1","0,1,0,1,0,0,0,1,0,0,1"
78,1,187.9,"1,1,0,1,0,1,1,1,0,1,1","0,1,0,0,0,0,0,0,0,0,1"
79,1,188.0,"0,1,0,1,0,1,1,1,1,1,1","0,1,0,0,0,0,0,0,0,0,1"
80,1,188.1,"0,1,0,1,1,1,0,1,1,0,0","0,1,0,0,0,0,0,0,0,0,0"
81,1,188.2,"0,1,0,0,1,1,0,1,0,1,1","0,1,0,0,0,0,0,0,0,0,1"
82,1,188.3,"1,1,1,1,0,0,0,1,1,1,1","0,1,0,0,0,0,0,0,0,0,1"
83,1,188.4,"1,1,0,1,1,1,1,0,1,1,0","0,1,0,0,0,0,0,0,0,0,0"
84,1,188.5,"1,1,0,0,0,1,0,0,0,1,1","0,1,0,0,0,1,0,0,0,0,1"
85,1,188.6,"1,1,0,0,1,1,0,0,0,1,0","0,1,0,0,0,1,0,0,0,0,0"
86,1,188.7,"1,1,1,1,0,0,1,1,1,1,1","0,1,0,0,0,0,0,0,0,0,1"
87,1,188.8,"0,1,0,1,1,1,1,0,1,1,0","0,1,0,0,0,1,0,0,0,0,0"
88,1,188.9,"0,1,1,1,0,1,0,1,1,0,0","0,1,0,0,0,1,0,0,0,0,0"
89,1,189.0,"1,1,0,1,0,0,1,0,1,0,0","0,1,0,0,0,0,0,0,0,0,0"
90,1,189.1,"1,1,0,1,1,1,0,1,1,1,1","0,1,0,0,0,1,0,0,0,0,1"
91,1,189.2,"1,1,1,1,0,0,0,0,0,1,0","0,1,0,0,0,0,0,0,0,0,0"
92,1,189.3,"0,1,0,0,0,1,0,0,1,1,0","0,1,0,0,0,1,0,0,0,0,0"
93,1,189.4,"1,1,0,1,0,1,1,1,0,1,1","0,1,0,0,0,1,0,0,0,0,1"
94,1,189.5,"1,1,1,1,1,1,0,0,1,1,0","0,1,0,0,0,1,0,0,0,0,0"
95,1,189.6,"0,0,0,1,1,0,0,1,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
96,1,189.7,"1,0,1,1,0,1,1,0,1,1,1","0,0,0,0,0,1,0,0,0,0,1"
97,1,189.8,"1,1,0,1,1,0,1,1,1,1,1","0,1,0,0,0,0,0,0,0,0,1"
98,1,189.9,"0,1,0,1,0,1,1,1,1,1,1","0,1,0,0,0,1,0,0,0,0,1"
99,1,190.0,"0,1,0,0,1,1,1,1,1,1,1","0,1,0,0,0,1,0,0,0,0,1"
100,1,190.1,"0,0,1,1,1,1,1,1,1,0,0","0,0,0,0,0,1,0,0,0,0,0"
101,1,190.2,"1,1,1,1,0,1,0,1,1,1,0","0,1,0,0,0,1,0,0,0,0,0"
102,1,190.3,"1,1,1,0,0,1,0,0,0,1,0","0,1,0,0,0,1,0,0,0,0,0"
103,1,190.4,"1,1,1,0,1,1,0,0,1,0,1","1,1,0,0,0,1,0,0,0,0,1"
104,1,190.5,"1,0,0,1,0,1,0,1,1,1,1","1,0,0,0,0,1,0,0,0,0,1"
105,1,190.6,"1,0,0,1,1,0,1,0,1,0,0","1,0,0,0,0,0,1,0,0,0,0"
106,1,190.7,"1,1,1,0,0,1,0,1,1,0,1","1,1,0,0,0,1,0,0,0,0,1"
107,1,190.8,"1,0,1,1,0,1,1,1,1,1,0","1,0,0,0,0,1,1,0,0,0,0"
108,1,190.9,"1,1,1,0,1,1,1,0,1,1,1","1,1,0,0,0,1,1,0,0,0,1"
109,1,191.0,"1,1,0,1,1,1,1,1,1,1,1","1,1,0,0,0,1,1,0,0,0,1"
110,1,191.1,"1,1,1,1,0,1,1,1,1,1,0","1,1,0,0,0,1,1,0,0,0,0"
111,1,191.2,"1,1,0,0,0,1,0,1,1,0,0","1,1,0,0,0,1,0,0,0,0,0"
112,1,191.3,"1,1,1,1,0,1,0,1,1,1,1","1,1,0,0,0,1,0,0,0,0,1"
113,1,191.4,"1,1,0,1,1,1,0,0,1,1,0","1,1,0,0,0,1,0,0,0,0,0"
