,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697654816105.0,1,2,0.33,1,0,1,23,0.0
1,1697654816105.0,1,7,0.47,0,0,0,0,25.599
2,1697654816105.0,1,6,0.0,1,0,1,0,0.0
3,1697654816105.0,1,1,0.03,0,0,0,0,5.499
4,1697654814248.0,2,1,0.45,0,0,0,0,50.105
5,1697654814248.0,2,2,0.3,0,1,1,29,4.499
6,1697654814248.0,2,3,0.39,0,0,0,0,58.908
7,1697654814248.0,2,4,0.15,1,0,0,39,0.0
8,1697654814956.0,3,1,0.0,0,0,0,0,214.432
9,1697654814956.0,3,2,5.0,0,1,1,31,33.4
10,1697654814956.0,3,3,0.0,0,0,0,0,18.599
11,1697654814956.0,3,4,0.0,0,0,0,26,2.799
12,1697654815400.0,4,1,1.0,1,0,0,0,0.0
13,1697654815400.0,4,2,4.0,0,1,0,26,4.299
14,1697654815400.0,4,3,2.0,0,0,0,0,174.434
15,1697654815400.0,4,4,1.0,0,1,1,22,36.601
16,1697654814095.0,5,1,0.0,0,0,0,0,2.399
17,1697654814095.0,5,2,1.0,1,1,1,19,0.0
18,1697654814095.0,5,4,2.0,0,0,0,23,19.597
19,1697654816146.0,6,2,0.5,1,1,1,17,0.0
20,1697654816146.0,6,4,0.2,0,0,0,25,10.298
21,1697654815501.0,7,2,0.32,0,1,0,20,45.904
22,1697654815501.0,7,4,0.17,0,0,0,20,25.8
23,1697654816138.0,8,2,0.36,1,1,1,21,0.0
24,1697654816138.0,8,4,0.21,0,1,0,29,7.899
25,1697654816138.0,8,1,0.04,0,0,0,0,41.902
26,1697654815356.0,9,2,0.47,1,1,1,18,0.0
27,1697654815356.0,9,4,0.06,0,0,0,20,18.898
28,1697654816151.0,10,2,0.42,1,1,1,0,0.0
29,1697654816151.0,10,4,0.21,0,0,0,20,6.499
30,1697654814061.0,11,1,0.3,0,0,0,0,464.627
31,1697654814061.0,11,2,0.11,0,0,1,20,468.227
32,1697654814061.0,11,3,0.39,0,0,0,0,468.227
33,1697654814061.0,11,4,0.19,0,0,0,20,468.227
34,1697654814061.0,11,5,0.05,0,0,0,0,468.227
35,1697654814061.0,11,6,0.44,1,0,1,20,0.0
36,1697654816205.0,1,2,0.28,1,0,1,23,0.0
37,1697654816205.0,1,7,0.26,0,0,0,0,25.699
38,1697654816205.0,1,6,0.04,1,0,1,0,0.0
39,1697654816205.0,1,1,0.37,0,0,0,0,5.599
40,1697654814348.0,2,1,0.32,0,0,0,0,50.205
41,1697654814348.0,2,2,0.07,0,1,1,29,4.599
42,1697654814348.0,2,3,0.27,0,0,0,0,59.008
43,1697654814348.0,2,4,0.09,1,0,0,39,0.0
44,1697654815056.0,3,1,0.0,0,0,0,0,214.532
45,1697654815056.0,3,2,5.0,1,1,1,31,0.0
46,1697654815056.0,3,3,0.0,0,0,0,0,18.699
47,1697654815056.0,3,4,0.0,0,0,0,26,2.899
48,1697654815600.0,4,1,2.0,1,0,0,0,0.0
49,1697654815600.0,4,2,4.0,0,1,0,26,4.499
50,1697654815600.0,4,3,2.0,0,0,0,0,174.634
51,1697654815600.0,4,4,1.0,0,1,1,22,36.801
52,1697654814296.0,5,1,0.0,0,0,0,0,2.6
53,1697654814296.0,5,2,1.0,1,1,1,19,0.0
54,1697654814296.0,5,4,2.0,0,0,0,23,19.798
55,1697654816246.0,6,2,0.18,1,1,1,17,0.0
