,episode,time_sec,action,updated action
0,1,360.1,"1,0,0,0,0,0,1,0,0,1,0","0,0,0,0,0,0,1,0,0,0,0"
1,1,360.2,"0,0,0,1,1,1,1,1,0,1,1","0,0,0,0,0,0,1,0,0,0,1"
2,1,360.3,"0,1,1,1,0,0,1,0,1,1,0","0,0,0,0,0,0,1,0,1,0,0"
3,1,360.4,"0,0,1,0,1,1,0,0,1,1,0","0,0,0,0,0,0,0,0,1,0,0"
4,1,360.5,"0,0,1,1,0,0,1,0,1,1,1","0,0,0,0,0,0,1,0,1,0,1"
5,1,360.6,"0,0,1,0,0,0,1,1,0,1,0","0,0,0,0,0,0,1,0,0,0,0"
6,1,360.7,"1,1,1,1,1,1,1,0,1,1,0","0,0,0,0,0,0,1,0,1,0,0"
7,1,360.8,"1,0,0,1,1,0,1,0,0,1,0","0,0,0,0,0,0,1,0,0,0,0"
8,1,360.9,"0,0,1,0,0,1,1,1,1,1,1","0,0,0,0,0,0,1,0,1,0,1"
9,1,361.0,"0,0,1,1,1,0,1,0,0,1,1","0,0,0,0,0,0,1,0,0,0,1"
10,1,361.1,"1,0,1,1,1,0,1,0,1,0,0","0,0,0,0,0,0,1,0,1,0,0"
11,1,361.2,"0,0,0,1,0,1,1,1,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
12,1,361.3,"0,1,1,0,0,1,1,1,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
13,1,361.4,"0,0,1,0,0,1,1,1,1,0,1","0,0,0,0,0,0,0,0,1,0,1"
14,1,361.5,"0,0,0,1,0,0,1,1,1,1,1","0,0,0,0,0,0,0,0,1,0,1"
15,1,361.6,"1,0,0,0,1,0,1,0,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
16,1,361.7,"0,0,1,1,0,0,1,1,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
17,1,361.8,"0,0,1,0,0,0,1,1,0,0,1","0,0,0,0,0,0,0,0,0,0,1"
18,1,361.9,"1,0,1,0,0,0,0,1,1,0,1","0,0,0,0,0,0,0,0,1,0,1"
19,1,362.0,"0,1,1,0,0,1,1,1,0,0,1","0,0,0,0,0,0,0,0,0,0,1"
20,1,362.1,"0,1,1,1,0,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0"
21,1,362.2,"1,1,0,0,0,0,1,1,1,0,1","0,0,0,0,0,0,0,0,1,0,1"
22,1,362.3,"1,0,1,0,1,0,1,0,1,1,1","0,0,0,0,0,0,0,0,1,0,1"
23,1,362.4,"0,0,1,1,0,1,1,1,1,0,1","0,0,0,0,0,0,0,0,1,0,1"
24,1,362.5,"0,1,1,1,0,0,1,1,1,1,1","0,0,0,0,0,0,0,0,1,0,1"
25,1,362.6,"0,0,1,0,0,1,0,1,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
26,1,362.7,"1,0,0,0,0,1,1,1,1,0,0","0,0,0,0,0,0,0,0,1,0,0"
27,1,362.8,"1,0,1,1,0,0,1,0,1,1,0","0,0,0,0,0,0,0,0,1,0,0"
28,1,362.9,"1,0,1,1,1,0,1,1,1,1,1","0,0,0,0,0,0,0,0,1,0,1"
29,1,363.0,"0,0,1,1,1,1,0,1,1,0,1","0,0,0,0,0,0,0,0,1,0,1"
30,1,363.1,"0,0,0,1,1,0,1,1,1,0,0","0,0,0,0,0,0,0,0,1,0,0"
31,1,363.2,"1,1,1,0,1,0,1,1,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
32,1,363.3,"1,0,1,1,0,1,0,0,1,0,1","0,0,0,0,0,0,0,0,1,0,1"
33,1,363.4,"0,1,1,0,0,0,1,0,1,1,1","0,0,0,0,0,0,0,0,1,1,1"
34,1,363.5,"1,0,1,1,1,1,1,0,1,1,0","0,0,0,0,0,0,0,0,1,1,0"
35,1,363.6,"0,0,0,1,0,0,1,0,1,0,0","0,0,0,0,0,0,0,0,1,0,0"
36,1,363.7,"0,1,1,1,0,0,1,1,1,1,1","0,0,0,0,0,0,0,0,1,1,1"
37,1,363.8,"0,0,1,0,0,0,1,0,1,0,0","0,0,0,0,0,0,0,0,1,0,0"
38,1,363.9,"0,1,0,0,0,1,0,1,1,0,0","0,0,0,0,0,0,0,0,1,0,0"
39,1,364.0,"0,1,0,1,0,1,1,1,0,0,1","0,0,0,0,0,0,0,0,0,0,1"
40,1,364.1,"0,0,1,1,1,0,1,0,1,1,0","0,0,0,0,0,0,0,0,0,1,0"
41,1,364.2,"1,1,1,1,0,0,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
42,1,364.3,"0,0,1,1,1,0,1,1,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
43,1,364.4,"0,0,0,0,0,1,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
44,1,364.5,"0,1,1,0,0,0,1,1,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
45,1,364.6,"0,1,1,0,0,0,1,1,0,0,1","0,0,0,0,0,0,0,0,0,0,1"
46,1,364.7,"0,1,1,1,1,0,1,1,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
47,1,364.8,"1,0,1,0,1,0,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
48,1,364.9,"1,0,1,0,1,1,0,1,0,1,0","0,0,0,0,0,0,0,0,0,1,0"
49,1,365.0,"1,1,1,1,0,1,0,1,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
50,1,365.1,"1,1,0,1,0,0,1,0,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
51,1,365.2,"0,0,1,0,0,1,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
52,1,365.3,"0,0,1,0,0,1,1,1,0,1,1","0,0,0,0,0,0,0,0,0,1,1"
53,1,365.4,"0,1,1,0,0,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,1,0"
54,1,365.5,"0,0,0,0,0,0,0,1,0,1,0","0,0,0,0,0,0,0,0,0,1,0"
55,1,365.6,"1,0,1,0,0,1,1,1,0,0,1","0,0,0,0,0,0,0,0,0,0,1"
56,1,365.7,"0,0,1,0,1,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,1,0"
57,1,365.8,"1,1,1,1,0,1,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
58,1,365.9,"0,0,1,0,0,1,1,0,0,1,1","0,0,0,0,0,0,0,0,0,1,1"
59,1,366.0,"0,0,1,0,0,0,0,1,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
60,1,366.1,"1,0,1,0,1,0,0,1,0,1,1","0,0,0,0,0,0,0,0,0,1,1"
61,1,366.2,"0,1,1,0,0,0,1,1,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
62,1,366.3,"0,0,1,0,0,1,1,0,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
63,1,366.4,"0,1,1,1,0,0,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
64,1,366.5,"1,1,1,0,0,0,1,1,1,1,0","0,0,0,0,0,0,0,0,0,1,0"
65,1,366.6,"0,1,1,0,0,0,1,1,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
66,1,366.7,"1,0,1,0,0,0,1,1,0,1,1","0,0,0,0,0,0,0,0,0,1,1"
67,1,366.8,"1,0,1,1,1,0,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
68,1,366.9,"0,1,1,0,1,0,0,1,0,1,0","0,0,0,0,0,0,0,0,0,1,0"
69,1,367.0,"1,0,1,1,0,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,1,0"
70,1,367.1,"0,1,1,0,0,0,1,1,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
71,1,367.2,"0,0,1,1,1,0,1,1,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
72,1,367.3,"1,0,0,0,0,1,0,1,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
73,1,367.4,"1,1,1,0,1,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0"
74,1,367.5,"0,0,1,0,1,0,1,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
75,1,367.6,"1,1,0,0,0,0,1,1,0,0,1","0,0,0,0,0,0,0,0,0,0,1"
76,1,367.7,"0,0,1,0,1,1,1,0,1,1,0","0,0,0,0,0,1,0,0,0,0,0"
77,1,367.8,"0,1,0,0,0,0,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
78,1,367.9,"0,1,1,0,0,0,1,0,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
79,1,368.0,"1,0,1,0,1,0,1,0,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
80,1,368.1,"0,1,1,0,1,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
81,1,368.2,"0,1,1,1,0,1,1,0,1,1,0","0,0,0,0,0,1,0,0,0,0,0"
82,1,368.3,"0,0,0,0,0,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
83,1,368.4,"1,1,1,0,0,0,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
84,1,368.5,"0,0,1,0,0,0,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
85,1,368.6,"1,1,0,0,1,0,1,1,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
86,1,368.7,"0,0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
87,1,368.8,"0,0,0,1,0,1,1,0,1,0,1","0,0,0,0,0,1,0,0,0,0,1"
88,1,368.9,"0,0,1,0,1,1,0,1,1,1,1","0,0,0,0,0,1,0,0,0,0,1"
89,1,369.0,"0,0,1,1,0,0,1,0,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
90,1,369.1,"0,0,1,1,0,0,1,1,1,0,1","0,0,0,0,0,0,0,0,0,0,1"
91,1,369.2,"0,0,1,0,1,1,1,1,1,1,0","0,0,0,0,0,1,0,0,0,0,0"
92,1,369.3,"0,0,1,1,0,0,0,1,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
93,1,369.4,"0,1,1,0,0,1,1,0,0,0,0","0,0,0,0,0,1,0,0,0,0,0"
94,1,369.5,"1,1,0,1,0,0,1,0,0,1,1","1,0,0,0,0,0,0,0,0,0,1"
95,1,369.6,"1,0,1,0,0,1,0,0,0,1,1","1,0,0,0,0,1,0,0,0,0,1"
96,1,369.7,"1,0,0,0,0,1,1,0,1,0,1","1,0,0,0,0,1,0,0,0,0,1"
97,1,369.8,"1,0,0,0,0,1,1,1,1,1,0","1,0,0,0,0,1,0,0,0,0,0"
98,1,369.9,"0,0,1,1,0,1,1,1,1,1,1","0,0,0,0,0,1,0,0,0,0,1"
99,1,370.0,"0,0,1,0,1,0,0,1,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
100,1,370.1,"0,0,1,0,0,0,0,0,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
101,1,370.2,"0,1,1,0,0,1,1,1,0,0,1","0,0,0,0,0,1,0,0,0,0,1"
102,1,370.3,"0,1,1,1,0,0,1,1,0,0,1","0,0,0,1,0,0,0,0,0,0,1"
103,1,370.4,"0,0,0,0,1,0,0,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0"
104,1,370.5,"1,1,1,0,0,1,1,1,1,0,0","1,0,0,0,0,1,0,0,0,0,0"
105,1,370.6,"1,0,1,0,0,0,1,1,1,0,1","1,0,0,0,0,0,0,0,0,0,1"
106,1,370.7,"0,0,1,0,1,0,1,0,0,0,1","0,0,0,0,0,0,0,0,0,0,1"
107,1,370.8,"0,1,0,0,0,0,1,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
108,1,370.9,"0,0,1,0,0,0,0,1,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
109,1,371.0,"0,0,0,1,0,0,1,1,1,1,0","0,0,0,1,0,0,0,0,0,0,0"
110,1,371.1,"0,1,1,1,1,0,0,0,0,0,1","0,0,0,1,0,0,0,0,0,0,1"
111,1,371.2,"0,1,0,0,1,0,0,1,1,0,1","0,0,0,0,0,0,0,1,0,0,1"
112,1,371.3,"1,0,1,0,1,1,1,1,1,0,1","1,0,0,0,0,0,0,1,0,0,1"
113,1,371.4,"1,0,1,0,1,0,1,1,0,0,1","1,0,0,0,0,0,0,1,0,0,1"
114,1,371.5,"0,0,1,0,0,1,0,1,0,1,1","0,0,0,0,0,0,0,1,0,0,1"
115,1,371.6,"1,0,1,0,1,1,1,0,1,1,0","1,0,0,0,0,0,0,0,0,0,0"
116,1,371.7,"0,1,0,0,0,0,1,1,1,0,0","0,0,0,0,0,0,0,1,0,0,0"
117,1,371.8,"1,0,1,1,1,0,1,1,0,1,1","1,0,0,1,0,0,0,1,0,0,1"
