1,1,1,1,1,2023-10-12 09:55:14.845000
1,1,1,1,2,2023-10-12 09:55:36.741000
1,1,1,1,3,2023-10-12 09:56:14.936000
1,1,1,4,2023-10-12 09:57:06.428000
1,1,5,2023-10-12 09:57:57.423000
1,6,2023-10-12 09:58:35.425000
2,2,2,2,1,2023-10-12 09:55:14.727000
2,2,2,2,2,2023-10-12 09:55:50.622000
2,2,2,3,2023-10-12 09:56:38.016000
2,2,4,2023-10-12 09:57:23.809000
2,2,5,2023-10-12 09:58:20.704000
2,6,2023-10-12 09:59:16.916000
3,3,3,3,1,2023-10-12 09:56:04.800000
3,3,2,2023-10-12 09:57:36.190000
4,4,4,4,1,2023-10-12 09:55:14.716000
4,4,4,4,2,2023-10-12 09:55:41.512000
4,4,4,3,2023-10-12 09:56:44.802000
4,4,4,2023-10-12 09:57:59.593000
4,5,2023-10-12 09:58:37.795000
5,5,5,5,1,2023-10-12 09:56:14.634000
5,5,5,2,2023-10-12 09:57:14.825000
5,5,3,2023-10-12 09:58:15.120000
5,4,2023-10-12 09:59:15.332000
6,6,6,6,1,2023-10-12 09:55:14.519000
6,6,6,6,2,2023-10-12 09:55:36.216000
6,6,6,6,3,2023-10-12 09:56:12.911000
6,6,6,4,2023-10-12 09:56:49.905000
6,6,5,2023-10-12 09:57:26.901000
6,6,6,2023-10-12 09:58:03.497000
6,7,2023-10-12 09:58:40.600000
6,8,2023-10-12 09:59:17.808000
7,7,7,7,1,2023-10-12 09:55:14.665000
7,7,7,7,2,2023-10-12 09:55:39.861000
7,7,7,3,2023-10-12 09:56:26.155000
7,7,7,4,2023-10-12 09:57:14.647000
7,7,5,2023-10-12 09:58:01.542000
7,6,2023-10-12 09:58:49.748000
8,8,8,8,1,2023-10-12 09:55:14.521000
8,8,8,2,2023-10-12 09:57:14.504000
8,3,2023-10-12 09:59:10.510000
9,9,9,9,1,2023-10-12 09:55:51.221000
9,9,9,2,2023-10-12 09:56:29.215000
9,9,9,3,2023-10-12 09:57:05.809000
9,9,4,2023-10-12 09:57:43.007000
9,9,5,2023-10-12 09:58:19.404000
9,6,2023-10-12 09:58:55.711000
9,7,2023-10-12 09:59:31.914000
10,10,10,10,1,2023-10-12 09:55:46.046000
10,10,10,10,2,2023-10-12 09:56:18.341000
10,10,10,3,2023-10-12 09:56:50.437000
10,10,10,4,2023-10-12 09:57:21.932000
10,10,5,2023-10-12 09:57:52.629000
10,10,6,2023-10-12 09:58:23.927000
10,7,2023-10-12 09:58:56.135000
10,8,2023-10-12 09:59:26.439000
11,11,11,11,1,2023-10-12 09:55:46.622000
11,11,11,11,2,2023-10-12 09:56:18.718000
11,11,11,3,2023-10-12 09:56:50.913000
11,11,11,4,2023-10-12 09:57:22.909000
11,11,5,2023-10-12 09:57:55.305000
11,6,2023-10-12 09:59:19.215000
