,episode,time_sec,action,updated action
0,1,0.1,"0,0,0,0,1,0,0,1,0,1,1","0,0,0,0,0,0,0,1,0,0,0"
1,1,0.2,"1,0,0,0,0,1,1,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
2,1,0.3,"1,1,0,0,1,0,0,0,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
3,1,0.4,"1,0,0,0,1,1,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
4,1,0.5,"0,1,0,0,1,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
5,1,0.6,"1,0,1,0,0,1,0,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0"
6,1,0.7,"1,0,0,0,1,0,1,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
7,1,0.8,"0,0,0,1,1,0,0,1,0,0,1","0,0,0,1,0,0,0,1,0,0,0"
8,1,0.9,"0,0,0,0,0,0,1,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0"
9,1,1.0,"1,0,0,0,1,1,0,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
10,1,1.1,"0,1,0,0,1,1,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
11,1,1.2,"1,1,0,0,1,0,0,1,0,0,0","0,0,0,0,0,0,0,1,0,0,0"
12,1,1.3,"0,0,0,0,0,1,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
13,1,1.4,"1,1,0,0,1,0,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
14,1,1.5,"1,0,0,0,1,1,1,1,0,0,1","0,0,0,0,0,0,0,1,0,0,0"
15,1,1.6,"0,0,1,0,1,0,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
16,1,1.7,"0,1,0,0,0,0,0,1,0,1,0","0,0,0,0,0,0,0,1,0,0,0"
17,1,1.8,"1,0,0,0,1,0,1,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
18,1,1.9,"0,1,1,0,1,1,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
19,1,2.0,"1,0,0,0,0,1,0,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
20,1,2.1,"1,0,0,0,1,0,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
21,1,2.2,"0,0,0,1,1,1,0,0,1,0,1","0,0,0,1,0,0,0,0,0,0,0"
22,1,2.3,"0,0,0,0,1,1,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
23,1,2.4,"1,0,0,1,0,0,1,0,1,1,1","0,0,0,1,0,0,0,0,0,0,0"
24,1,2.5,"0,0,0,0,1,1,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
25,1,2.6,"0,0,0,1,0,0,0,1,0,1,0","0,0,0,1,0,0,0,1,0,0,0"
26,1,2.7,"1,0,0,0,1,0,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
27,1,2.8,"1,0,0,1,1,0,1,0,1,0,1","0,0,0,1,0,0,0,0,0,0,0"
28,1,2.9,"1,0,0,1,1,0,0,0,1,1,1","0,0,0,1,0,0,0,0,0,0,0"
29,1,3.0,"1,0,0,0,1,1,0,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
30,1,3.1,"1,0,1,0,1,0,0,1,1,1,1","0,0,0,0,0,0,0,1,0,0,0"
31,1,3.2,"1,0,0,0,1,0,1,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0"
32,1,3.3,"1,0,0,0,1,1,1,1,1,0,1","0,0,0,0,0,0,0,1,0,0,0"
33,1,3.4,"1,0,0,0,0,1,1,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
34,1,3.5,"0,0,0,1,1,0,0,0,1,1,0","0,0,0,1,0,0,0,0,0,0,0"
35,1,3.6,"1,0,0,0,1,0,0,1,1,1,1","0,0,0,0,0,0,0,1,0,0,0"
36,1,3.7,"1,0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,0,0,1,0,0,0"
37,1,3.8,"1,1,0,0,1,1,0,0,0,0,1","0,1,0,0,0,0,0,0,0,0,0"
38,1,3.9,"1,0,0,0,1,0,1,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
39,1,4.0,"1,0,0,0,0,1,0,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
40,1,4.1,"1,0,0,0,1,0,1,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
41,1,4.2,"0,0,1,0,1,1,1,1,0,1,0","0,0,0,0,0,0,0,1,0,0,0"
42,1,4.3,"1,0,1,1,1,0,1,0,1,1,1","0,0,0,1,0,0,0,0,0,0,0"
43,1,4.4,"1,0,0,1,1,0,0,0,1,0,1","0,0,0,1,0,0,0,0,0,0,0"
44,1,4.5,"1,0,0,0,1,0,1,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0"
45,1,4.6,"0,0,0,0,1,0,1,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0"
46,1,4.7,"0,0,0,0,1,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
47,1,4.8,"0,1,0,0,1,0,0,1,1,1,0","0,1,0,0,0,0,0,1,0,0,0"
48,1,4.9,"1,1,0,0,1,0,0,1,1,0,1","0,1,0,0,0,0,0,1,0,0,0"
49,1,5.0,"1,0,0,0,0,0,0,1,0,0,1","0,0,0,0,0,0,0,1,0,0,0"
50,1,5.1,"1,0,0,0,1,1,1,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
51,1,5.2,"1,0,0,0,1,0,0,1,0,0,1","0,0,0,0,0,0,0,1,0,0,0"
52,1,5.3,"1,0,0,0,1,0,0,1,1,0,0","0,0,0,0,0,0,0,1,0,0,0"
53,1,5.4,"1,0,0,0,1,1,0,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0"
54,1,5.5,"1,0,0,0,1,0,1,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
55,1,5.6,"0,0,0,0,1,0,0,0,0,0,1","0,0,0,0,0,0,0,0,0,0,0"
56,1,5.7,"0,1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,0,0,0,0,0,0"
57,1,5.8,"0,0,1,0,1,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
58,1,5.9,"1,0,0,0,1,0,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
59,1,6.0,"1,0,0,0,0,0,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
60,1,6.1,"0,0,0,1,1,0,0,0,0,0,1","0,0,0,1,0,0,0,0,0,0,0"
61,1,6.2,"0,1,1,0,1,0,1,0,0,0,1","0,1,0,0,0,0,0,0,0,0,0"
62,1,6.3,"0,1,0,0,1,1,0,0,0,0,1","0,1,0,0,0,0,0,0,0,0,0"
63,1,6.4,"0,0,0,0,1,0,1,1,1,1,1","0,0,0,0,0,0,0,1,0,0,0"
64,1,6.5,"0,0,0,0,0,0,0,1,1,0,1","0,0,0,0,0,0,0,1,0,0,0"
65,1,6.6,"0,0,0,0,1,0,0,1,0,0,1","0,0,0,0,0,0,0,1,0,0,0"
66,1,6.7,"1,0,0,0,1,1,1,1,0,0,0","0,0,0,0,0,0,0,1,0,0,0"
67,1,6.8,"0,0,0,0,0,1,0,1,0,0,1","0,0,0,0,0,0,0,1,0,0,0"
68,1,6.9,"1,0,0,0,1,0,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
69,1,7.0,"1,0,0,0,1,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
70,1,7.1,"1,0,0,1,0,0,1,0,0,0,1","0,0,0,1,0,0,0,0,0,0,0"
71,1,7.2,"0,1,0,1,1,1,1,0,0,0,1","0,0,0,1,0,0,0,0,0,0,0"
72,1,7.3,"1,1,0,0,1,1,1,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
73,1,7.4,"1,0,0,1,1,0,1,0,1,0,0","0,0,0,1,0,0,0,0,0,0,0"
74,1,7.5,"1,0,0,0,1,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
75,1,7.6,"0,0,0,1,0,0,1,0,1,1,0","0,0,0,1,0,0,0,0,0,0,0"
76,1,7.7,"1,0,1,0,0,0,1,1,1,1,0","0,0,1,0,0,0,0,1,0,0,0"
77,1,7.8,"1,0,1,0,1,0,1,0,0,0,1","0,0,1,0,0,0,0,0,0,0,0"
78,1,7.9,"1,0,0,0,1,1,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0"
79,1,8.0,"0,0,0,0,0,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0"
80,1,8.1,"0,1,0,1,1,1,0,1,0,0,1","0,0,0,1,0,1,0,1,0,0,1"
81,1,8.2,"1,0,0,1,1,1,0,0,1,0,1","0,0,0,1,0,1,0,0,0,0,1"
82,1,8.3,"1,0,0,0,1,0,0,0,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
