datetime,node,signal_group,push_button pressed,request status
2023-10-23 09:46:09.159000,3,4,1,Button Pressed
2023-10-23 09:46:17.360000,3,4,1,Serving Push_Button Request
2023-10-23 09:46:43.264000,3,4,1,Next Button Pressed to current
2023-10-23 09:46:59.471000,3,4,1,Serving Push_Button Request
2023-10-23 09:45:37.520000,7,4,1,Button Pressed
2023-10-23 09:46:06.825000,7,4,1,Serving Push_Button Request
2023-10-23 09:46:26.927000,7,4,1,Next Button Pressed to current
2023-10-23 09:46:57.834000,7,4,1,Serving Push_Button Request
