,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697206997420.0,1,2,0.44,1,0,1,23,0.0
1,1697206997420.0,1,7,0.0,0,0,0,0,0.0
2,1697206997420.0,1,6,0.15,1,0,1,0,0.0
3,1697206997420.0,1,1,0.05,0,0,0,0,0.0
4,1697206997279.0,2,1,0.37,0,0,0,0,0.0
5,1697206997279.0,2,2,0.0,0,1,1,29,0.0
6,1697206997279.0,2,3,0.28,0,0,0,0,0.0
7,1697206997279.0,2,4,0.25,1,0,0,39,0.0
8,1697206997323.0,3,1,0.41,0,0,0,0,0.0
9,1697206997323.0,3,2,0.38,1,1,1,33,0.0
10,1697206997323.0,3,3,0.3,0,0,0,0,0.0
11,1697206997323.0,3,4,0.06,0,0,0,29,0.0
12,1697206997446.0,4,1,3.0,0,0,0,0,0.0
13,1697206997446.0,4,2,6.0,0,1,0,26,0.0
14,1697206997446.0,4,3,2.0,0,0,0,0,0.0
15,1697206997446.0,4,4,4.0,1,1,1,22,0.0
16,1697206997441.0,5,1,0.21,0,0,0,0,0.0
17,1697206997441.0,5,2,0.09,0,1,1,22,0.0
18,1697206997441.0,5,4,0.45,1,1,0,28,0.0
19,1697206997306.0,6,2,0.18,0,1,1,17,0.0
20,1697206997306.0,6,4,0.14,1,0,0,25,0.0
21,1697206997370.0,7,2,0.05,0,1,0,20,0.0
22,1697206997370.0,7,4,0.31,1,0,0,20,0.0
23,1697206997430.0,8,2,0.39,0,1,1,21,0.0
24,1697206997430.0,8,4,0.06,0,1,0,29,0.0
25,1697206997430.0,8,1,0.34,1,0,0,0,0.0
26,1697206997427.0,9,2,0.25,1,1,1,18,0.0
27,1697206997427.0,9,4,0.1,0,0,0,20,0.0
28,1697206997435.0,10,2,0.01,1,1,1,0,0.0
29,1697206997435.0,10,4,0.1,0,0,0,20,0.0
30,1697206997384.0,11,1,0.47,0,0,0,0,0.0
31,1697206997384.0,11,2,0.25,0,0,1,20,0.0
32,1697206997384.0,11,3,0.05,0,0,0,0,0.0
33,1697206997384.0,11,4,0.43,1,0,0,20,0.0
34,1697206997384.0,11,5,0.16,0,0,0,0,0.0
35,1697206997384.0,11,6,0.34,0,0,1,20,0.0
36,1697206997519.0,1,2,0.48,1,0,1,23,0.0
37,1697206997519.0,1,7,0.37,0,0,0,0,0.099
38,1697206997519.0,1,6,0.12,1,0,1,0,0.0
39,1697206997519.0,1,1,0.03,0,0,0,0,0.099
40,1697206997379.0,2,1,0.16,0,0,0,0,0.1
41,1697206997379.0,2,2,0.18,0,1,1,29,0.1
42,1697206997379.0,2,3,0.02,0,0,0,0,0.1
43,1697206997379.0,2,4,0.36,1,0,0,39,0.0
44,1697206997424.0,3,1,0.08,0,0,0,0,0.101
45,1697206997424.0,3,2,0.27,1,1,1,33,0.0
46,1697206997424.0,3,3,0.47,0,0,0,0,0.101
47,1697206997424.0,3,4,0.25,0,0,0,29,0.101
48,1697206995473.867,4,1,3.0,0,0,0,0,-1.972133
49,1697206995473.867,4,2,6.0,0,1,0,26,-1.972133
50,1697206995473.867,4,3,2.0,0,0,0,0,-1.972133
51,1697206995473.867,4,4,4.0,1,1,1,22,0.0
52,1697206995475.8699,5,1,0.26,0,0,0,0,-1.96513
53,1697206995475.8699,5,2,0.3,0,1,1,22,-1.96513
54,1697206995475.8699,5,4,0.05,1,1,0,28,0.0
55,1697206997407.0,6,2,0.07,0,1,1,17,0.101
56,1697206997407.0,6,4,0.11,1,0,0,25,0.0
57,1697206997471.0,7,2,0.2,0,1,0,20,0.101
58,1697206997471.0,7,4,0.38,1,0,0,20,0.0
59,1697206995476.868,8,2,0.36,0,1,1,21,-1.953132
60,1697206995476.868,8,4,0.02,0,1,0,29,-1.953132
61,1697206995476.868,8,1,0.44,1,0,0,0,0.0
62,1697206995467.8691,9,2,0.34,1,1,1,18,0.0
63,1697206995467.8691,9,4,0.5,0,0,0,20,-1.959131
64,1697206997534.0,10,2,0.23,1,1,1,0,0.0
65,1697206997534.0,10,4,0.24,0,0,0,20,0.099
66,1697206997485.0,11,1,0.16,0,0,0,0,0.101
67,1697206997485.0,11,2,0.48,0,0,1,20,0.101
68,1697206997485.0,11,3,0.42,0,0,0,0,0.101
69,1697206997485.0,11,4,0.01,1,0,0,20,0.0
70,1697206997485.0,11,5,0.2,0,0,0,0,0.101
71,1697206997485.0,11,6,0.45,0,0,1,20,0.101
72,1697206997619.0,1,2,0.45,1,0,1,23,0.0
73,1697206997619.0,1,7,0.48,0,0,0,0,0.199
74,1697206997619.0,1,6,0.16,1,0,1,0,0.0
75,1697206997619.0,1,1,0.34,0,0,0,0,0.199
76,1697206997480.0,2,1,0.11,0,0,0,0,0.201
77,1697206997480.0,2,2,0.28,0,1,1,29,0.201
78,1697206997480.0,2,3,0.42,0,0,0,0,0.201
79,1697206997480.0,2,4,0.16,1,0,0,39,0.0
80,1697206997523.0,3,1,0.04,0,0,0,0,0.2
81,1697206997523.0,3,2,0.26,1,1,1,33,0.0
82,1697206997523.0,3,3,0.24,0,0,0,0,0.2
83,1697206997523.0,3,4,0.25,0,0,0,29,0.2
84,1697206997545.0,4,1,3.0,0,0,0,0,0.099
85,1697206997545.0,4,2,6.0,0,1,0,26,0.099
86,1697206997545.0,4,3,2.0,0,0,0,0,0.099
87,1697206997545.0,4,4,4.0,1,1,1,22,0.0
88,1697206997540.0,5,1,0.42,0,0,0,0,0.099
89,1697206997540.0,5,2,0.44,0,1,1,22,0.099
90,1697206997540.0,5,4,0.22,1,1,0,28,0.0
91,1697206997506.0,6,2,0.44,0,1,1,17,0.2
92,1697206997506.0,6,4,0.43,1,0,0,25,0.0
93,1697206997570.0,7,2,0.38,0,1,0,20,0.2
94,1697206997570.0,7,4,0.29,1,0,0,20,0.0
95,1697206997629.0,8,2,0.41,0,1,1,21,0.199
96,1697206997629.0,8,4,0.36,0,1,0,29,0.199
97,1697206997629.0,8,1,0.17,1,0,0,0,0.0
98,1697206997626.0,9,2,0.22,1,1,1,18,0.0
99,1697206997626.0,9,4,0.46,0,0,0,20,0.199
100,1697206997634.0,10,2,0.08,1,1,1,0,0.0
101,1697206997634.0,10,4,0.15,0,0,0,20,0.199
102,1697206997584.0,11,1,0.13,0,0,0,0,0.2
103,1697206997584.0,11,2,0.31,0,0,1,20,0.2
104,1697206997584.0,11,3,0.1,0,0,0,0,0.2
105,1697206997584.0,11,4,0.26,1,0,0,20,0.0
106,1697206997584.0,11,5,0.34,0,0,0,0,0.2
107,1697206997584.0,11,6,0.2,0,0,1,20,0.2
108,1697206997719.0,1,2,0.1,1,0,1,23,0.0
109,1697206997719.0,1,7,0.04,0,0,0,0,0.299
110,1697206997719.0,1,6,0.3,1,0,1,0,0.0
111,1697206997719.0,1,1,0.13,0,0,0,0,0.299
112,1697206997579.0,2,1,0.35,0,0,0,0,0.3
113,1697206997579.0,2,2,0.41,0,1,1,29,0.3
114,1697206997579.0,2,3,0.03,0,0,0,0,0.3
115,1697206997579.0,2,4,0.26,1,0,0,39,0.0
116,1697206997723.0,3,1,0.18,0,0,0,0,0.4
117,1697206997723.0,3,2,0.25,1,1,1,33,0.0
118,1697206997723.0,3,3,0.37,0,0,0,0,0.4
119,1697206997723.0,3,4,0.48,0,0,0,29,0.4
120,1697206997745.0,4,1,3.0,0,0,0,0,0.299
121,1697206997745.0,4,2,6.0,0,1,0,26,0.299
122,1697206997745.0,4,3,2.0,0,0,0,0,0.299
123,1697206997745.0,4,4,4.0,1,1,1,22,0.0
124,1697206997740.0,5,1,0.23,0,0,0,0,0.299
125,1697206997740.0,5,2,0.04,0,1,1,22,0.299
126,1697206997740.0,5,4,0.02,1,1,0,28,0.0
127,1697206997706.0,6,2,0.11,0,1,1,17,0.4
128,1697206997706.0,6,4,0.01,1,0,0,25,0.0
129,1697206997770.0,7,2,0.45,0,1,0,20,0.4
130,1697206997770.0,7,4,0.35,1,0,0,20,0.0
131,1697206997729.0,8,2,0.47,0,1,1,21,0.299
132,1697206997729.0,8,4,0.14,0,1,0,29,0.299
133,1697206997729.0,8,1,0.44,1,0,0,0,0.0
134,1697206997726.0,9,2,0.28,1,1,1,18,0.0
135,1697206997726.0,9,4,0.05,0,0,0,20,0.299
136,1697206997734.0,10,2,0.24,1,1,1,0,0.0
137,1697206997734.0,10,4,0.08,0,0,0,20,0.299
138,1697206997684.0,11,1,0.22,0,0,0,0,0.3
139,1697206997684.0,11,2,0.26,0,0,1,20,0.3
140,1697206997684.0,11,3,0.17,0,0,0,0,0.3
141,1697206997684.0,11,4,0.12,1,0,0,20,0.0
142,1697206997684.0,11,5,0.38,0,0,0,0,0.3
143,1697206997684.0,11,6,0.07,0,0,1,20,0.3
144,1697206997919.0,1,2,0.24,1,0,1,23,0.0
145,1697206997919.0,1,7,0.14,0,0,0,0,0.499
146,1697206997919.0,1,6,0.35,1,0,1,0,0.0
147,1697206997919.0,1,1,0.2,0,0,0,0,0.499
148,1697206997779.0,2,1,0.07,0,0,0,0,0.5
149,1697206997779.0,2,2,0.14,0,1,1,29,0.5
150,1697206997779.0,2,3,0.1,0,0,0,0,0.5
151,1697206997779.0,2,4,0.12,1,0,0,39,0.0
152,1697206997823.0,3,1,0.36,0,0,0,0,0.5
153,1697206997823.0,3,2,0.45,1,1,1,33,0.0
154,1697206997823.0,3,3,0.24,0,0,0,0,0.5
155,1697206997823.0,3,4,0.32,0,0,0,29,0.5
156,1697206997845.0,4,1,3.0,0,0,0,0,0.399
157,1697206997845.0,4,2,6.0,0,1,0,26,0.399
158,1697206997845.0,4,3,2.0,0,0,0,0,0.399
159,1697206997845.0,4,4,4.0,1,1,1,22,0.0
160,1697206997840.0,5,1,0.18,0,0,0,0,0.399
161,1697206997840.0,5,2,0.24,0,1,1,22,0.399
162,1697206997840.0,5,4,0.36,1,1,0,28,0.0
163,1697206997806.0,6,2,0.05,0,1,1,17,0.5
164,1697206997806.0,6,4,0.12,1,0,0,25,0.0
165,1697206997870.0,7,2,0.08,0,1,0,20,0.5
166,1697206997870.0,7,4,0.26,1,0,0,20,0.0
167,1697206997829.0,8,2,0.13,0,1,1,21,0.399
168,1697206997829.0,8,4,0.27,0,1,0,29,0.399
169,1697206997829.0,8,1,0.42,1,0,0,0,0.0
170,1697206997826.0,9,2,0.07,1,1,1,18,0.0
171,1697206997826.0,9,4,0.04,0,0,0,20,0.399
172,1697206997834.0,10,2,0.05,1,1,1,0,0.0
173,1697206997834.0,10,4,0.45,0,0,0,20,0.399
174,1697206997884.0,11,1,0.35,0,0,0,0,0.5
175,1697206997884.0,11,2,0.4,0,0,1,20,0.5
176,1697206997884.0,11,3,0.07,0,0,0,0,0.5
177,1697206997884.0,11,4,0.31,1,0,0,20,0.0
178,1697206997884.0,11,5,0.25,0,0,0,0,0.5
179,1697206997884.0,11,6,0.07,0,0,1,20,0.5
180,1697206998019.0,1,2,0.22,1,0,1,23,0.0
181,1697206998019.0,1,7,0.49,0,0,0,0,0.599
182,1697206998019.0,1,6,0.33,1,0,1,0,0.0
183,1697206998019.0,1,1,0.49,0,0,0,0,0.599
184,1697206997879.0,2,1,0.13,0,0,0,0,0.6
185,1697206997879.0,2,2,0.23,0,1,1,29,0.6
186,1697206997879.0,2,3,0.0,0,0,0,0,0.6
187,1697206997879.0,2,4,0.39,1,0,0,39,0.0
188,1697206997923.0,3,1,0.42,0,0,0,0,0.6
189,1697206997923.0,3,2,0.01,1,1,1,33,0.0
190,1697206997923.0,3,3,0.2,0,0,0,0,0.6
191,1697206997923.0,3,4,0.28,0,0,0,29,0.6
192,1697206997945.0,4,1,3.0,0,0,0,0,0.499
193,1697206997945.0,4,2,6.0,0,1,0,26,0.499
194,1697206997945.0,4,3,2.0,0,0,0,0,0.499
195,1697206997945.0,4,4,4.0,1,1,1,22,0.0
196,1697206997940.0,5,1,0.24,0,0,0,0,0.499
197,1697206997940.0,5,2,0.41,0,1,1,22,0.499
198,1697206997940.0,5,4,0.47,1,1,0,28,0.0
199,1697206997906.0,6,2,0.1,0,1,1,17,0.6
200,1697206997906.0,6,4,0.0,1,0,0,25,0.0
201,1697206997970.0,7,2,0.3,0,1,0,20,0.6
202,1697206997970.0,7,4,0.1,1,0,0,20,0.0
203,1697206997929.0,8,2,0.01,0,1,1,21,0.499
204,1697206997929.0,8,4,0.41,0,1,0,29,0.499
205,1697206997929.0,8,1,0.18,1,0,0,0,0.0
206,1697206997926.0,9,2,0.26,1,1,1,18,0.0
207,1697206997926.0,9,4,0.4,0,0,0,20,0.499
208,1697206997934.0,10,2,0.1,1,1,1,0,0.0
209,1697206997934.0,10,4,0.46,0,0,0,20,0.499
210,1697206997984.0,11,1,0.18,0,0,0,0,0.6
211,1697206997984.0,11,2,0.31,0,0,1,20,0.6
212,1697206997984.0,11,3,0.23,0,0,0,0,0.6
213,1697206997984.0,11,4,0.42,1,0,0,20,0.0
214,1697206997984.0,11,5,0.1,0,0,0,0,0.6
215,1697206997984.0,11,6,0.04,0,0,1,20,0.6
216,1697206998119.0,1,2,0.46,1,0,1,23,0.0
217,1697206998119.0,1,7,0.37,0,0,0,0,0.699
218,1697206998119.0,1,6,0.45,1,0,1,0,0.0
219,1697206998119.0,1,1,0.48,0,0,0,0,0.699
