,episode,time_sec,action,updated action
0,1,200.1,"0,1,0,1,1,1,0,1,1,1,1","0,0,0,0,0,0,0,0,0,1,1"
1,1,200.2,"0,1,0,0,1,0,0,1,1,1,0","0,0,0,0,1,0,0,0,0,0,0"
2,1,200.3,"0,0,1,1,1,0,0,0,1,0,0","0,0,0,0,1,0,0,0,0,0,0"
3,1,200.4,"0,1,0,1,1,1,0,1,1,1,0","0,0,0,0,1,0,0,0,0,0,0"
4,1,200.5,"0,0,0,1,1,1,0,1,1,1,1","0,0,0,0,1,0,0,0,0,0,1"
5,1,200.6,"0,1,1,1,1,0,0,1,0,0,1","0,0,0,0,1,0,0,0,0,0,1"
6,1,200.7,"0,1,1,1,1,0,1,0,1,1,1","0,0,0,0,1,0,0,0,0,0,1"
7,1,200.8,"1,1,0,1,1,1,0,0,1,1,1","0,0,0,0,1,0,0,0,0,0,1"
8,1,200.9,"1,1,0,1,1,1,0,1,0,1,1","1,0,0,0,1,0,0,0,0,0,1"
9,1,201.0,"0,1,0,1,0,0,0,1,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
10,1,201.1,"0,1,0,1,0,1,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
11,1,201.2,"0,1,1,1,0,0,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
12,1,201.3,"0,0,1,1,0,1,1,0,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
13,1,201.4,"1,0,0,1,1,0,1,1,1,1,1","1,0,0,0,1,0,0,0,0,0,1"
14,1,201.5,"0,1,0,1,1,0,1,1,1,1,1","0,0,0,0,1,0,0,0,0,0,1"
15,1,201.6,"0,1,0,1,1,1,0,1,0,1,1","0,0,0,0,1,0,0,0,0,0,1"
16,1,201.7,"0,1,1,1,1,0,0,1,1,1,1","0,0,0,0,1,0,0,0,0,0,1"
17,1,201.8,"0,1,0,1,0,1,0,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
18,1,201.9,"0,0,0,1,1,0,1,0,1,1,0","0,0,0,0,1,0,0,0,0,0,0"
19,1,202.0,"0,1,1,1,1,0,1,1,0,1,1","0,0,0,0,1,0,0,0,0,0,1"
20,1,202.1,"0,1,1,1,0,1,0,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
21,1,202.2,"0,1,0,1,1,1,0,0,1,0,1","0,0,0,0,1,0,0,0,0,0,1"
22,1,202.3,"0,1,0,1,1,0,0,1,1,1,1","0,0,0,0,1,0,0,0,0,0,1"
23,1,202.4,"0,1,1,1,1,1,0,0,1,0,1","0,0,0,0,1,0,0,0,0,0,1"
24,1,202.5,"0,1,0,1,1,1,1,0,1,0,1","0,0,0,0,1,0,0,0,0,0,1"
25,1,202.6,"0,0,0,0,0,1,1,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0"
26,1,202.7,"0,1,0,0,1,0,0,0,0,1,0","0,0,0,0,1,0,0,0,0,0,0"
27,1,202.8,"0,1,0,1,0,1,0,1,0,1,1","0,0,0,0,0,0,0,0,0,0,1"
28,1,202.9,"0,1,0,1,1,0,1,1,1,0,0","0,0,0,0,1,0,0,0,0,0,0"
29,1,203.0,"0,1,1,1,0,0,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0"
30,1,203.1,"0,1,0,1,1,1,0,0,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
31,1,203.2,"0,1,1,1,0,0,1,0,1,1,0","0,0,0,0,0,0,0,0,0,0,0"
